Dataset,MajorityClass,Water,Non_Water,Grassland,Lichens_and_Mosses,Bareland,Built-up,Shrubland,Forest,Wetland,Permanent_ice_and_snow,Non_Wetland
SIBERIA_2024_GSW_Yearly_2021_42XVF_M_R,Shrubland,5,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XVF_M_R,Wetland,9,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XVF_M_R,Water,0,8,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XVF_M_R,Bareland,5,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XVF_M_R,Forest,2,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,Shrubland,0,0,3,3,3,2,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,Wetland,0,0,3,3,3,2,3,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,Bareland,0,0,3,3,0,3,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,Water,0,0,0,3,3,2,3,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,Forest,0,0,1,2,3,0,2,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_42XVF_M_R,Wetland,2,0,0,0,3,0,3,1,0,0,0
SIBERIA_2024_ESA_CALU_2024_42XVF_M_R,Water,0,0,0,0,3,0,3,1,3,1,0
SIBERIA_2024_GWL_FCS30D_2022_42XVF_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,15
SIBERIA_2024_GWL_FCS30D_2022_42XVF_M_R,Water,0,0,0,0,0,0,0,0,1,0,0
