Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_43WER_M_R,Shrubland,3,3,2,3,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Grassland,0,3,3,2,2,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Wetland,39,0,36,32,34,30,8,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Lichens_and_Mosses,3,3,0,3,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Bareland,15,19,16,0,15,5,6,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Built-up,13,18,15,9,8,10,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Water,42,44,42,38,0,23,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Forest,18,23,16,13,13,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Cropland,0,1,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WER_M_R,Permanent_ice_and_snow,15,18,11,11,11,10,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Bareland,0,3,0,0,2,0,0,0,22,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Built-up,0,2,0,0,1,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Forest,0,3,0,0,1,0,0,0,26,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Wetland,0,0,0,0,2,0,0,0,111,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Water,0,7,0,0,0,0,0,0,27,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,18,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Shrubland,0,0,0,0,4,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Grassland,0,0,0,0,8,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Wetland,0,0,0,0,64,0,0,0,0,14,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Lichens_and_Mosses,0,0,0,0,8,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Bareland,0,0,0,0,31,0,0,0,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Built-up,0,0,0,0,23,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Water,0,0,0,0,0,0,0,0,0,63,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Forest,0,0,0,0,29,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,Permanent_ice_and_snow,0,0,0,0,16,0,0,0,0,5,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Water,20,21,16,22,0,21,16,0,0,0,22,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Wetland,15,0,15,17,5,15,17,0,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Bareland,8,4,11,0,2,14,12,0,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Built-up,11,2,8,17,1,11,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Permanent_ice_and_snow,12,2,9,15,0,14,11,0,0,0,11,0
SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,Forest,15,3,10,15,1,0,10,0,0,0,15,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Grassland,0,3,0,2,2,3,2,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Wetland,0,0,0,13,13,14,13,14,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Water,0,28,0,21,0,12,17,21,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Lichens_and_Mosses,0,3,0,3,2,3,2,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Bareland,0,3,0,0,2,3,3,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Built-up,0,3,0,3,1,0,0,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,Forest,0,3,0,1,2,0,1,3,0,0,0,0
