Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Shrubland,2,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Grassland,0,1,1,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Cropland,7,6,5,0,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Wetland,30,0,21,27,32,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Bareland,7,3,6,6,6,0,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Built-up,1,1,3,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Water,27,25,14,0,34,18,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Forest,18,18,6,13,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPM_M_R,Permanent_ice_and_snow,14,10,4,8,12,6,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Grassland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Cropland,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Bareland,0,3,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Forest,0,3,0,2,0,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Wetland,0,0,0,2,0,0,0,0,78,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Water,0,8,0,0,0,0,0,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Wetland,0,0,0,47,0,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Bareland,0,0,0,13,0,0,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Water,0,0,0,0,0,0,0,0,0,29,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Forest,0,0,0,28,0,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Permanent_ice_and_snow,0,0,0,15,0,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPM_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPM_M_R,Water,3,8,2,0,18,21,8,14,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_44VPM_M_R,Cropland,1,0,0,0,3,5,0,2,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_44VPM_M_R,Wetland,3,0,2,2,12,15,14,9,0,0,11,0
SIBERIA_2024_GLC_FCS30D_2022_44VPM_M_R,Bareland,0,3,0,0,3,0,0,4,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPM_M_R,Permanent_ice_and_snow,0,0,3,0,13,12,3,8,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_44VPM_M_R,Forest,5,3,3,2,0,14,11,9,0,0,13,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPM_M_R,Wetland,0,0,0,12,14,12,5,1,0,0,0,19
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPM_M_R,Water,0,19,0,0,16,7,5,0,0,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPM_M_R,Forest,0,3,0,2,0,3,1,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPM_M_R,Grassland,0,1,0,1,3,0,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPM_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPM_M_R,Bareland,0,1,0,2,3,0,0,0,0,0,0,3
