Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Shrubland,3,1,3,2,1,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Grassland,0,1,2,2,3,1,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Cropland,11,0,10,4,6,5,4,8,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Wetland,33,3,0,12,21,13,26,32,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Lichens_and_Mosses,3,1,2,0,1,1,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Bareland,12,2,8,5,0,9,10,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Built-up,15,5,12,8,14,0,9,16,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Water,34,1,31,12,32,9,0,33,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Forest,23,5,18,6,10,8,11,0,1,0,0,0
SIBERIA_2024_WorldCover_2021_42VXM_M_R,Permanent_ice_and_snow,10,1,7,3,8,5,5,9,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Grassland,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Cropland,0,0,0,0,0,0,0,0,0,10,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Bareland,0,0,3,0,0,0,1,0,0,11,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Built-up,0,0,1,0,0,0,0,0,0,14,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Forest,0,0,3,0,0,0,2,0,0,21,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Wetland,0,0,0,0,0,0,2,0,0,98,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Water,0,0,9,0,0,0,0,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Wetland,0,0,0,0,0,0,38,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Bareland,0,0,0,0,0,0,16,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Built-up,0,0,0,0,0,0,22,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,Water,0,0,0,0,0,0,0,0,0,0,43,0
