Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Forest,Water,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Shrubland,3,3,1,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Grassland,0,2,1,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Wetland,38,0,19,18,17,36,25,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Lichens_and_Mosses,3,3,0,1,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Bareland,8,4,6,0,4,8,4,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Built-up,14,11,4,9,0,17,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Water,37,35,22,24,9,38,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Forest,18,15,5,8,6,0,8,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Cropland,10,7,2,2,1,11,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLN_M_R,Permanent_ice_and_snow,13,11,5,6,5,15,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Grassland,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Bareland,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Built-up,0,3,0,0,0,0,1,0,14,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Forest,0,3,0,0,0,0,2,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Cropland,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Wetland,0,0,0,0,0,0,2,0,105,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Water,0,9,0,0,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,11,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Grassland,0,0,0,0,0,0,5,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Wetland,0,0,0,0,0,0,62,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Bareland,0,0,0,0,0,0,12,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Water,0,0,0,0,0,0,0,0,0,47,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Forest,0,0,0,0,0,0,27,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Built-up,0,0,0,0,0,0,14,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,16,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Water,16,9,16,25,16,24,0,0,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Cropland,4,0,1,9,3,8,0,0,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Wetland,15,0,9,20,12,18,2,0,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Bareland,2,0,1,0,3,4,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Built-up,6,3,6,15,0,11,1,0,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Permanent_ice_and_snow,8,0,3,16,7,12,0,0,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,Forest,6,3,3,14,4,0,2,0,0,0,12,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Grassland,0,3,0,1,2,3,2,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Wetland,0,0,0,8,11,14,14,18,0,0,0,12
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Bareland,0,3,0,0,3,1,2,3,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Built-up,0,3,0,1,0,1,2,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Water,0,23,0,12,10,12,0,19,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Forest,0,3,0,2,3,0,2,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,Lichens_and_Mosses,0,2,0,1,1,0,1,0,0,0,0,0
