Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Built-up,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Shrubland,3,3,1,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Grassland,0,1,1,0,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Cropland,4,5,2,0,0,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Wetland,32,0,15,3,25,33,11,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Lichens_and_Mosses,1,1,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Bareland,7,4,11,1,7,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Built-up,3,5,3,0,1,6,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Water,32,26,13,1,0,34,22,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Forest,20,19,4,1,12,0,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUJ_M_R,Permanent_ice_and_snow,11,12,3,0,6,15,11,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Grassland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Bareland,0,3,0,0,2,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Forest,0,3,0,0,2,0,0,22,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Wetland,0,0,0,0,2,0,0,71,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Water,0,9,0,0,0,0,0,18,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,12,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Wetland,0,0,0,0,49,0,0,0,11,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Bareland,0,0,0,0,20,0,0,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Water,0,0,0,0,0,0,0,0,35,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Forest,0,0,0,0,32,0,0,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,Permanent_ice_and_snow,0,0,0,0,19,0,0,0,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Water,3,9,4,14,0,19,20,0,0,18,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Cropland,1,0,0,1,0,3,4,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Wetland,3,0,4,9,2,11,16,0,0,12,5,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Bareland,0,3,0,6,2,4,0,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Built-up,0,0,1,0,0,1,5,0,0,2,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Permanent_ice_and_snow,1,0,3,9,0,10,14,0,0,12,2,0
SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,Forest,5,3,3,9,2,0,15,0,0,15,5,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUJ_M_R,Wetland,0,0,0,1,12,17,13,0,0,0,6,18
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUJ_M_R,Forest,0,3,0,1,2,0,2,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUJ_M_R,Water,0,18,0,0,0,16,12,0,0,0,0,21
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUJ_M_R,Grassland,0,2,0,0,1,2,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUJ_M_R,Bareland,0,2,0,1,2,3,0,0,0,0,0,3
