Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Cropland,Bareland,Permanent_ice_and_snow,Built-up,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Grassland,0,2,1,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Cropland,7,6,1,1,7,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Wetland,39,0,6,32,36,3,5,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Lichens_and_Mosses,2,3,0,1,3,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Bareland,7,5,1,9,7,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Built-up,14,5,1,7,13,0,7,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Water,36,34,3,0,33,0,10,0,1,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Forest,20,22,2,14,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPN_M_R,Permanent_ice_and_snow,9,8,0,4,6,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Grassland,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Cropland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,4,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Bareland,0,2,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Forest,0,3,0,2,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Wetland,0,0,0,2,0,0,0,0,0,79,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Water,0,8,0,0,0,0,0,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Built-up,0,1,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Wetland,0,0,0,48,0,0,0,0,0,0,10,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Bareland,0,0,0,12,0,0,0,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Water,0,0,0,0,0,0,0,0,0,0,35,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Forest,0,0,0,27,0,0,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Built-up,0,0,0,9,0,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,Permanent_ice_and_snow,0,0,0,4,0,0,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Water,7,8,17,0,17,10,18,0,4,0,0,18
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Cropland,1,0,3,0,4,0,3,0,0,0,0,3
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Wetland,8,0,11,2,12,10,13,0,1,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Bareland,0,2,0,0,4,0,0,0,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Built-up,4,1,11,0,7,2,11,0,0,0,0,7
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Permanent_ice_and_snow,1,0,3,0,8,0,5,0,0,0,0,7
SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,Forest,7,3,10,2,0,7,12,0,1,0,0,13
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,Grassland,0,3,0,1,2,1,0,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,Wetland,0,0,0,10,11,8,12,12,10,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,Forest,0,3,0,2,0,1,3,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,Water,0,19,0,0,16,0,12,8,6,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,Lichens_and_Mosses,0,1,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,Bareland,0,1,0,2,2,0,0,0,2,0,0,0
