Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Shrubland,3,3,3,2,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Grassland,0,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Wetland,37,0,36,34,6,32,33,2,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Lichens_and_Mosses,3,3,0,2,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Bareland,15,20,18,0,3,13,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Built-up,15,21,13,17,0,9,13,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Water,40,42,39,37,6,0,32,2,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Forest,21,24,21,19,8,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WMV_M_R,Permanent_ice_and_snow,18,19,17,13,3,13,15,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Bareland,0,3,0,0,0,2,0,0,23,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Built-up,0,1,0,0,0,1,0,0,23,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Forest,0,3,0,0,0,2,0,0,27,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Wetland,0,0,0,0,0,2,0,0,117,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Water,0,7,0,0,0,0,0,0,28,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,19,0,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Grassland,0,0,0,0,0,8,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Wetland,0,0,0,0,0,68,0,0,0,14,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Lichens_and_Mosses,0,0,0,0,0,7,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Bareland,0,0,0,0,0,31,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Built-up,0,0,0,0,0,26,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Water,0,0,0,0,0,0,0,0,0,67,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Forest,0,0,0,0,0,42,0,0,0,9,0
SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,Permanent_ice_and_snow,0,0,0,0,0,28,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,Water,23,9,17,23,22,0,24,0,0,0,24
SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,Wetland,15,0,15,17,18,6,18,0,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,Bareland,9,3,10,0,13,2,11,0,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,Built-up,11,1,11,17,0,1,9,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,Permanent_ice_and_snow,14,0,9,17,15,0,14,0,0,0,16
SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,Forest,15,3,11,17,17,2,0,0,0,0,18
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Water,0,34,0,16,16,0,21,25,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Grassland,0,3,0,2,2,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Lichens_and_Mosses,0,3,0,1,2,1,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Bareland,0,3,0,0,3,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Built-up,0,2,0,3,0,0,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Forest,0,3,0,1,1,2,0,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,Wetland,0,0,0,13,11,13,15,18,0,0,0
