Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Grassland,0,3,2,0,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Cropland,6,6,1,0,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Wetland,30,0,19,23,26,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Lichens_and_Mosses,1,1,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Bareland,10,5,5,3,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Built-up,2,2,1,0,3,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Water,33,30,23,0,29,16,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Forest,18,22,7,10,0,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPT_M_R,Permanent_ice_and_snow,12,14,5,9,10,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Grassland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Bareland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Forest,0,3,0,2,0,0,0,25,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Wetland,0,0,0,2,0,0,0,67,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Water,0,7,0,0,0,0,0,21,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Grassland,0,0,0,5,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Wetland,0,0,0,33,0,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Bareland,0,0,0,12,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Water,0,0,0,0,0,0,0,0,32,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Forest,0,0,0,23,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPT_M_R,Permanent_ice_and_snow,0,0,0,12,0,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPT_M_R,Water,13,7,4,0,19,19,1,0,0,19,10,0
SIBERIA_2024_GLC_FCS30D_2022_44WPT_M_R,Cropland,2,0,2,0,2,4,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPT_M_R,Wetland,7,0,4,2,9,14,1,0,0,14,7,0
SIBERIA_2024_GLC_FCS30D_2022_44WPT_M_R,Bareland,0,0,0,0,5,0,0,0,0,4,1,0
SIBERIA_2024_GLC_FCS30D_2022_44WPT_M_R,Permanent_ice_and_snow,5,0,3,0,9,11,0,0,0,10,3,0
SIBERIA_2024_GLC_FCS30D_2022_44WPT_M_R,Forest,8,3,3,2,0,13,3,0,0,12,8,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPT_M_R,Grassland,0,2,0,2,3,1,1,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPT_M_R,Wetland,0,0,0,11,12,8,3,0,0,0,0,12
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPT_M_R,Forest,0,3,0,2,0,1,1,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPT_M_R,Water,0,17,0,0,16,11,0,0,0,0,0,13
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPT_M_R,Lichens_and_Mosses,0,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPT_M_R,Bareland,0,0,0,2,1,0,0,0,0,0,0,1
