Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Lichens_and_Mosses,Cropland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Shrubland,2,2,2,3,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Grassland,0,3,1,3,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Cropland,4,5,0,6,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Wetland,29,0,5,27,8,0,19,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Lichens_and_Mosses,2,1,1,2,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Bareland,12,5,0,10,12,0,5,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Built-up,7,1,0,8,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Water,30,30,22,31,24,0,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Forest,17,20,6,0,5,1,9,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWK_M_R,Permanent_ice_and_snow,14,15,9,14,10,0,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Bareland,0,2,0,0,0,0,1,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Forest,0,3,0,0,0,0,2,0,23,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Wetland,0,0,0,0,0,0,2,0,50,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Water,0,7,0,0,0,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,15,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Grassland,0,0,0,0,0,0,9,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Wetland,0,0,0,0,0,0,45,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,9,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Bareland,0,0,0,0,0,0,31,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Water,0,0,0,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Forest,0,0,0,0,0,0,32,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,29,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Water,15,7,20,19,15,0,0,16,0,0,21,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Cropland,2,0,4,3,0,0,0,2,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Wetland,6,0,10,9,3,0,2,4,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Bareland,6,2,0,5,4,0,1,4,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Built-up,2,0,3,2,1,0,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Permanent_ice_and_snow,10,0,12,12,9,0,0,7,0,0,11,0
SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,Forest,9,3,13,0,7,1,2,7,0,0,14,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,Grassland,0,3,2,3,0,2,2,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,Wetland,0,0,10,12,0,5,10,1,0,0,0,15
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,Forest,0,3,1,0,0,1,2,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,Water,0,16,17,15,0,0,0,0,0,0,0,20
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,Lichens_and_Mosses,0,1,2,2,0,0,1,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,Bareland,0,1,0,2,0,0,2,0,0,0,0,3
