Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Shrubland,3,2,3,2,3,2,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Grassland,0,1,3,1,1,1,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Cropland,16,0,18,3,6,7,3,12,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Wetland,44,21,0,24,32,29,32,41,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Lichens_and_Mosses,3,1,3,0,1,1,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Bareland,17,3,16,12,0,13,14,12,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Built-up,21,9,18,12,15,0,12,21,1,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Water,40,15,40,19,30,21,0,41,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Forest,20,8,22,9,11,11,12,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXN_M_R,Permanent_ice_and_snow,15,1,14,2,11,9,7,14,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Cropland,0,0,0,0,0,0,0,0,0,19,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Bareland,0,0,3,0,0,0,1,0,0,19,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Built-up,0,0,3,0,0,0,2,0,0,21,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Forest,0,0,3,0,0,0,2,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Wetland,0,0,0,0,0,0,2,0,0,151,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Water,0,0,10,0,0,0,0,0,0,31,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,14,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Cropland,0,0,0,0,0,0,11,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Wetland,0,0,0,0,0,0,74,0,0,0,14,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,4,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Bareland,0,0,0,0,0,0,25,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Built-up,0,0,0,0,0,0,32,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Water,0,0,0,0,0,0,0,0,0,0,69,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Forest,0,0,0,0,0,0,29,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,8,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R,Water,15,13,10,14,29,24,0,28,0,0,0,28
SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R,Cropland,6,0,0,5,16,8,0,11,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R,Wetland,15,16,0,17,22,19,2,23,0,0,0,23
SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R,Bareland,4,6,3,7,0,12,1,17,0,0,0,14
