Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Shrubland,3,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Grassland,0,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Wetland,33,0,35,34,5,29,31,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Lichens_and_Mosses,3,3,0,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Bareland,13,15,20,0,2,14,9,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Built-up,13,15,15,16,0,9,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Water,35,35,39,37,2,0,33,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Forest,21,24,21,21,1,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNA_M_R,Permanent_ice_and_snow,18,21,18,18,6,13,17,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Bareland,0,3,0,0,0,2,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Built-up,0,1,0,0,0,0,0,16,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Forest,0,3,0,0,0,2,0,27,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Wetland,0,0,0,0,0,2,0,112,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Water,0,7,0,0,0,0,0,28,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,21,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Shrubland,0,0,0,0,0,5,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Grassland,0,0,0,0,0,8,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Wetland,0,0,0,0,0,60,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Lichens_and_Mosses,0,0,0,0,0,9,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Bareland,0,0,0,0,0,28,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Built-up,0,0,0,0,0,16,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Water,0,0,0,0,0,0,0,0,59,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Forest,0,0,0,0,0,42,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,Permanent_ice_and_snow,0,0,0,0,0,32,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,Water,21,7,15,21,23,0,20,0,0,23,0
SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,Wetland,15,0,14,16,17,2,15,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,Bareland,9,3,5,0,12,2,10,0,0,13,0
SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,Built-up,10,1,9,14,0,0,6,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,Permanent_ice_and_snow,15,0,12,17,17,0,14,0,0,19,0
SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,Forest,14,3,12,14,17,2,0,0,0,17,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Water,0,23,0,16,6,0,21,0,0,0,25
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Grassland,0,3,0,1,2,2,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Lichens_and_Mosses,0,3,0,3,1,2,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Bareland,0,3,0,0,3,2,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Built-up,0,1,0,1,0,0,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Forest,0,3,0,3,1,2,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,Wetland,0,0,0,9,3,11,15,0,0,0,18
