Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDR_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDR_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDR_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDR_M_R,SIBERIA_2024_WorldCover_2021_43WDR_M_R
172,NULL,Water,Water,NULL,Wetland
173,NULL,Water,Water,NULL,Bareland
174,NULL,Water,Water,NULL,Water
175,NULL,Water,Water,Water,Grassland
176,NULL,Water,Water,Water,Wetland
177,NULL,Water,Water,Water,Lichens_and_Mosses
178,NULL,Water,Water,Water,Bareland
179,NULL,Water,Water,Water,Built-up
180,NULL,Water,Water,Water,Water
181,NULL,Water,Water,Water,Forest
182,NULL,Forest,NULL,Non_Wetland,Grassland
183,NULL,Forest,NULL,Non_Wetland,Wetland
184,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
185,NULL,Forest,NULL,Non_Wetland,Bareland
186,NULL,Forest,NULL,Non_Wetland,Built-up
187,NULL,Forest,NULL,Non_Wetland,Water
188,NULL,Forest,NULL,Non_Wetland,Forest
189,NULL,Forest,Non_Water,Non_Wetland,Grassland
190,NULL,Forest,Non_Water,Non_Wetland,Wetland
191,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
192,NULL,Forest,Non_Water,Non_Wetland,Bareland
193,NULL,Forest,Non_Water,Non_Wetland,Built-up
194,NULL,Forest,Non_Water,Non_Wetland,Water
195,NULL,Forest,Non_Water,Non_Wetland,Forest
196,NULL,Forest,Water,Non_Wetland,Grassland
197,NULL,Forest,Water,Non_Wetland,Wetland
198,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
199,NULL,Forest,Water,Non_Wetland,Bareland
200,NULL,Forest,Water,Non_Wetland,Water
201,NULL,Forest,Water,Non_Wetland,Forest
