Value,SIBERIA_2024_ESA_CALU_2024_45WVV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVV_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVV_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVV_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVV_M_R,SIBERIA_2024_WorldCover_2021_45WVV_M_R
107,NULL,NULL,Built-up,NULL,Non_Wetland,Water
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
113,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
115,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
117,NULL,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,NULL,Water,NULL,Water,Grassland
119,NULL,NULL,Water,NULL,Water,Wetland
120,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
121,NULL,NULL,Water,NULL,Water,Bareland
122,NULL,NULL,Water,NULL,Water,Water
123,NULL,NULL,Water,NULL,Water,Forest
124,NULL,NULL,Water,Non_Water,Water,Grassland
125,NULL,NULL,Water,Non_Water,Water,Wetland
126,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
127,NULL,NULL,Water,Non_Water,Water,Bareland
128,NULL,NULL,Water,Non_Water,Water,Water
129,NULL,NULL,Water,Non_Water,Water,Forest
130,NULL,NULL,Water,Water,Water,Grassland
131,NULL,NULL,Water,Water,Water,Wetland
132,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
133,NULL,NULL,Water,Water,Water,Bareland
134,NULL,NULL,Water,Water,Water,Water
135,NULL,NULL,Water,Water,Water,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
140,NULL,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
145,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,NULL,Forest,Water,Non_Wetland,Water
152,NULL,NULL,Forest,Water,Non_Wetland,Forest
153,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
154,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
155,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
156,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
157,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
158,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
159,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
160,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
161,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
162,Shrubland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
163,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
164,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
165,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
166,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
167,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
168,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
169,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
170,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
171,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
172,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
173,Shrubland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
174,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
175,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
176,Shrubland,NULL,Wetland,NULL,Wetland,Water
177,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
178,Shrubland,NULL,Wetland,Water,Wetland,Grassland
179,Shrubland,NULL,Wetland,Water,Wetland,Wetland
180,Shrubland,NULL,Wetland,Water,Wetland,Water
181,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
182,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
183,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
184,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
185,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
186,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
187,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
188,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
189,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
190,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
191,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
192,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
193,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
194,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
195,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
196,Shrubland,NULL,Bareland,NULL,Non_Wetland,Forest
197,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
198,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
199,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
201,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
202,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
203,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
204,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
205,Shrubland,NULL,Built-up,Water,Non_Wetland,Grassland
206,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
207,Shrubland,NULL,Water,NULL,Water,Wetland
208,Shrubland,NULL,Water,NULL,Water,Water
209,Shrubland,NULL,Water,Water,Water,Grassland
210,Shrubland,NULL,Water,Water,Water,Wetland
211,Shrubland,NULL,Water,Water,Water,Water
212,Shrubland,NULL,Forest,NULL,Non_Wetland,Water
213,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
214,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
215,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
216,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
217,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
218,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
219,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
221,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
222,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
223,Wetland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
224,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
225,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
226,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
227,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
228,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
229,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
230,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
231,Wetland,NULL,Grassland,Water,Non_Wetland,Water
232,Wetland,NULL,Wetland,NULL,Wetland,Grassland
233,Wetland,NULL,Wetland,NULL,Wetland,Wetland
234,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
235,Wetland,NULL,Wetland,NULL,Wetland,Water
236,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
237,Wetland,NULL,Wetland,Non_Water,Wetland,Water
238,Wetland,NULL,Wetland,Water,Wetland,Grassland
239,Wetland,NULL,Wetland,Water,Wetland,Wetland
240,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
241,Wetland,NULL,Wetland,Water,Wetland,Water
242,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
243,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
244,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
245,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
246,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
247,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
248,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
249,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
250,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
251,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
252,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
254,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
255,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
256,Wetland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
257,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
258,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
259,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
260,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
261,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
262,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
263,Wetland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
264,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
265,Wetland,NULL,Bareland,Water,Non_Wetland,Water
266,Wetland,NULL,Water,NULL,Water,Grassland
267,Wetland,NULL,Water,NULL,Water,Wetland
268,Wetland,NULL,Water,NULL,Water,Water
269,Wetland,NULL,Water,Non_Water,Water,Wetland
270,Wetland,NULL,Water,Non_Water,Water,Water
271,Wetland,NULL,Water,Water,Water,Grassland
272,Wetland,NULL,Water,Water,Water,Wetland
273,Wetland,NULL,Water,Water,Water,Water
274,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
275,Wetland,NULL,Forest,Water,Non_Wetland,Water
276,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
277,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
278,Bareland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
279,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
280,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
281,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
282,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
283,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
284,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
285,Bareland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
286,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
287,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
288,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
289,Bareland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
290,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
291,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
292,Bareland,NULL,Wetland,NULL,Wetland,Grassland
293,Bareland,NULL,Wetland,NULL,Wetland,Wetland
294,Bareland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
295,Bareland,NULL,Wetland,NULL,Wetland,Water
296,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
297,Bareland,NULL,Wetland,Non_Water,Wetland,Water
298,Bareland,NULL,Wetland,Water,Wetland,Grassland
299,Bareland,NULL,Wetland,Water,Wetland,Wetland
300,Bareland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
301,Bareland,NULL,Wetland,Water,Wetland,Water
302,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
303,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
304,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
305,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
306,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
307,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
308,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
309,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
310,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
311,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
312,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
313,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
314,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
315,Bareland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
316,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
317,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
318,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
319,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
320,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
321,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
322,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
323,Bareland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
324,Bareland,NULL,Bareland,Water,Non_Wetland,Water
325,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
326,Bareland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
327,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
328,Bareland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
329,Bareland,NULL,Built-up,Water,Non_Wetland,Water
330,Bareland,NULL,Water,NULL,Water,Grassland
331,Bareland,NULL,Water,NULL,Water,Wetland
332,Bareland,NULL,Water,NULL,Water,Lichens_and_Mosses
333,Bareland,NULL,Water,NULL,Water,Water
334,Bareland,NULL,Water,Water,Water,Wetland
335,Bareland,NULL,Water,Water,Water,Water
336,Water,NULL,Shrubland,NULL,Non_Wetland,Water
337,Water,NULL,Shrubland,Water,Non_Wetland,Water
338,Water,NULL,Wetland,NULL,Wetland,Water
339,Water,NULL,Wetland,Non_Water,Wetland,Water
340,Water,NULL,Wetland,Water,Wetland,Water
341,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
342,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
343,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
344,Water,NULL,Bareland,Water,Non_Wetland,Water
345,Water,NULL,Water,NULL,Water,Water
346,Water,NULL,Water,Non_Water,Water,Water
347,Water,NULL,Water,Water,Water,Water
348,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Wetland
349,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,Grassland
350,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
351,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
352,Forest,NULL,Wetland,Water,Wetland,Water
353,Forest,NULL,Water,Water,Water,Water
