Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Permanent_ice_and_snow,Non_Wetland,Non_Water,Built-up,Shrubland,Forest
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Shrubland,35,56,24,32,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Grassland,0,3,3,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Wetland,92,0,82,115,55,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Lichens_and_Mosses,3,3,0,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Bareland,45,76,56,64,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Built-up,3,4,3,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Water,44,99,50,0,46,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Forest,8,30,1,8,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDA_M_R,Permanent_ice_and_snow,14,15,14,13,12,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Shrubland,0,0,0,0,0,0,86,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Grassland,0,0,0,0,0,0,16,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,22,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Bareland,0,22,0,17,0,0,125,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Forest,0,0,0,0,0,0,34,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Wetland,0,0,0,22,0,0,304,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Water,0,33,0,0,0,0,86,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Shrubland,0,0,0,31,0,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Grassland,0,0,0,10,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Wetland,0,0,0,162,0,0,0,42,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Lichens_and_Mosses,0,0,0,14,0,0,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Bareland,0,0,0,87,0,0,0,33,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Water,0,0,0,0,0,0,0,85,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Forest,0,0,0,6,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,Permanent_ice_and_snow,0,0,0,12,0,0,0,5,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Water,10,52,63,0,57,0,0,0,23,37,2
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Wetland,39,0,73,23,69,0,0,0,35,60,24
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Bareland,17,40,60,19,0,0,0,0,63,27,4
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Permanent_ice_and_snow,6,11,13,3,13,0,0,0,13,8,1
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Forest,3,0,4,0,18,0,0,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,Shrubland,21,2,37,0,37,0,0,0,11,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDA_M_R,Water,0,67,0,0,45,96,0,0,0,0,9
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDA_M_R,Grassland,0,9,0,1,0,9,0,0,0,0,0
