Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Shrubland,2,3,1,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Grassland,0,3,2,2,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Wetland,36,0,28,33,30,25,4,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Lichens_and_Mosses,3,3,0,2,1,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Bareland,11,13,13,10,3,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Built-up,10,8,6,2,4,8,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Water,31,44,25,0,28,23,3,2,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Forest,16,19,12,10,0,7,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXV_M_R,Permanent_ice_and_snow,13,11,7,5,7,7,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Bareland,0,3,0,2,0,0,0,0,16,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Built-up,0,1,0,0,0,0,0,0,9,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Forest,0,3,0,2,0,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Wetland,0,0,0,2,0,0,0,0,93,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Water,0,7,0,0,0,0,0,0,28,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Grassland,0,0,0,3,0,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Wetland,0,0,0,60,0,0,0,0,0,13,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Lichens_and_Mosses,0,0,0,6,0,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Bareland,0,0,0,22,0,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Water,0,0,0,0,0,0,0,0,0,43,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Forest,0,0,0,22,0,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Built-up,0,0,0,8,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,Permanent_ice_and_snow,0,0,0,13,0,0,0,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,Water,15,19,20,0,20,22,17,0,0,0,6
SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,Wetland,15,0,14,6,14,15,15,0,0,0,12
SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,Bareland,6,3,9,3,10,0,8,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,Built-up,5,1,7,0,3,12,0,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,Permanent_ice_and_snow,6,4,7,1,12,13,4,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,Forest,11,4,11,2,0,15,8,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Water,0,28,0,0,8,15,5,15,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Grassland,0,3,0,2,2,1,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Lichens_and_Mosses,0,3,0,2,1,3,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Bareland,0,3,0,2,3,0,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Built-up,0,1,0,0,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Forest,0,3,0,2,0,1,0,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,Wetland,0,0,0,14,14,14,7,20,0,0,0
