Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Permanent_ice_and_snow,Built-up,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Shrubland,23,25,19,20,19,17,5,3,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Grassland,0,3,2,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Wetland,38,0,36,37,37,17,19,3,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Lichens_and_Mosses,3,3,0,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Bareland,22,26,24,0,19,7,10,4,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Built-up,3,3,2,3,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Water,31,34,25,25,0,11,9,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Forest,18,24,8,14,15,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVC_M_R,Permanent_ice_and_snow,0,0,1,0,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Shrubland,0,0,0,0,0,0,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Bareland,0,3,0,0,2,0,0,0,27,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Built-up,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Forest,0,3,0,0,1,0,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Wetland,0,0,0,0,2,0,0,0,104,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,Water,0,7,0,0,0,0,0,0,19,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Shrubland,0,0,0,0,35,0,0,0,0,9,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Grassland,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Wetland,0,0,0,0,79,0,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Lichens_and_Mosses,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Bareland,0,0,0,0,44,0,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Built-up,0,0,0,0,6,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Water,0,0,0,0,0,0,0,0,0,44,0
SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,Forest,0,0,0,0,30,0,0,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,Water,7,13,16,15,0,9,0,7,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,Shrubland,12,4,17,16,1,15,0,15,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,Wetland,9,0,17,17,6,16,0,14,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,Bareland,12,13,15,0,8,16,0,15,0,0,16
SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,Forest,7,3,12,12,1,0,0,5,0,0,15
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Water,0,32,0,29,0,18,11,0,0,0,31
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Grassland,0,3,0,3,0,3,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Wetland,0,0,0,19,7,14,6,0,0,0,24
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Lichens_and_Mosses,0,3,0,3,1,1,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Bareland,0,3,0,0,1,3,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Built-up,0,3,0,3,0,0,0,0,0,0,1
SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,Forest,0,2,0,1,0,0,0,0,0,0,3
