Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Shrubland,3,3,1,1,1,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Grassland,0,3,1,1,1,0,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Cropland,6,14,1,0,1,0,6,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Wetland,40,0,22,22,11,26,38,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Lichens_and_Mosses,2,1,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Bareland,9,3,5,0,3,5,8,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Built-up,13,5,6,6,0,1,13,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Water,34,33,15,19,3,0,35,6,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Forest,22,20,4,3,6,8,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMN_M_R,Permanent_ice_and_snow,17,15,5,6,4,6,18,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Cropland,0,0,0,0,0,0,0,0,14,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Bareland,0,2,0,0,0,2,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Built-up,0,1,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Forest,0,3,0,0,0,2,0,0,23,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Wetland,0,0,0,0,0,2,0,0,119,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Water,0,9,0,0,0,0,0,0,26,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,15,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Grassland,0,0,0,0,0,6,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Cropland,0,0,0,0,0,6,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Wetland,0,0,0,0,0,69,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Bareland,0,0,0,0,0,17,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Built-up,0,0,0,0,0,9,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Water,0,0,0,0,0,0,0,0,0,43,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Forest,0,0,0,0,0,30,0,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,Permanent_ice_and_snow,0,0,0,0,0,19,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Water,11,9,10,22,15,0,21,4,0,0,20,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Cropland,4,0,0,7,0,0,5,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Wetland,10,0,9,22,16,2,19,11,0,0,20,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Bareland,2,2,1,0,2,2,4,0,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Built-up,5,1,3,12,0,0,8,2,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Permanent_ice_and_snow,6,0,7,16,8,0,12,2,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,Forest,6,3,7,16,6,2,0,7,0,0,12,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Grassland,0,3,0,0,1,2,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Wetland,0,0,0,9,6,12,16,7,0,0,0,21
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Built-up,0,3,0,1,0,0,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Forest,0,3,0,2,3,2,0,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Water,0,27,0,13,1,0,13,0,0,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Lichens_and_Mosses,0,1,0,0,0,1,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,Bareland,0,3,0,0,3,2,1,0,0,0,0,2
