Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Shrubland,3,3,1,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Grassland,0,3,3,2,3,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Wetland,38,0,29,35,26,24,5,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Lichens_and_Mosses,3,3,0,2,2,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Bareland,13,12,12,11,8,0,6,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Built-up,14,14,13,10,10,12,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Water,38,37,30,0,19,31,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Forest,14,18,9,8,0,4,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXA_M_R,Permanent_ice_and_snow,14,14,11,8,7,6,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Bareland,0,3,0,2,0,0,0,0,15,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Built-up,0,2,0,1,0,0,0,0,17,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Forest,0,3,0,1,0,0,0,0,21,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Wetland,0,0,0,2,0,0,0,0,100,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Water,0,7,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,14,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Shrubland,0,0,0,2,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Grassland,0,0,0,7,0,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Wetland,0,0,0,56,0,0,0,0,0,15,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Lichens_and_Mosses,0,0,0,9,0,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Bareland,0,0,0,24,0,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Built-up,0,0,0,24,0,0,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Water,0,0,0,0,0,0,0,0,0,51,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Forest,0,0,0,15,0,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,Permanent_ice_and_snow,0,0,0,14,0,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,Water,18,16,20,0,21,21,21,0,0,0,7
SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,Wetland,15,0,15,6,15,17,17,0,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,Bareland,5,4,12,3,6,0,15,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,Built-up,6,3,11,1,12,17,0,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,Permanent_ice_and_snow,10,1,14,1,13,14,8,0,0,0,3
SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,Forest,8,3,8,1,0,11,4,0,0,0,4
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Water,0,25,0,0,5,15,15,20,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Grassland,0,3,0,2,3,1,2,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Lichens_and_Mosses,0,3,0,2,1,3,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Bareland,0,3,0,2,1,0,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Built-up,0,3,0,0,0,3,0,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Forest,0,3,0,2,0,1,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,Wetland,0,0,0,13,10,12,9,16,0,0,0
