Dataset,MajorityClass,Grassland,Cropland,Wetland,Built-up,Forest,Lichens_and_Mosses,Bareland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Shrubland,3,2,3,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Grassland,0,0,0,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Cropland,11,0,7,4,8,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Wetland,38,25,0,10,31,4,7,22,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Bareland,4,2,3,3,8,1,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Built-up,18,7,10,0,12,2,8,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Water,34,18,27,9,34,8,21,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Forest,19,9,18,7,0,1,3,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VVL_M_R,Permanent_ice_and_snow,3,2,0,2,5,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Cropland,0,0,1,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Bareland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Built-up,0,0,1,0,0,0,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Forest,0,0,3,0,0,0,0,2,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Wetland,0,0,0,0,0,0,0,2,96,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Water,0,0,10,0,0,0,0,0,23,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Cropland,0,0,0,0,0,0,0,6,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Wetland,0,0,0,0,0,0,0,48,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Bareland,0,0,0,0,0,0,0,4,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Built-up,0,0,0,0,0,0,0,10,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Water,0,0,0,0,0,0,0,0,0,52,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Forest,0,0,0,0,0,0,0,24,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Water,7,24,10,17,21,8,22,0,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Cropland,0,0,1,4,8,0,4,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Wetland,1,16,0,10,15,5,17,2,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Bareland,0,2,0,2,0,0,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Built-up,4,11,1,0,9,0,10,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Permanent_ice_and_snow,0,4,0,1,4,0,2,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,Forest,2,11,3,8,0,1,13,2,0,0,13,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Wetland,0,6,0,13,13,0,1,15,0,0,0,7
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Built-up,0,1,2,0,1,0,1,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Forest,0,2,3,3,0,0,1,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Water,0,0,21,2,12,0,1,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Grassland,0,0,1,2,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Cropland,0,0,3,1,1,0,1,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,Bareland,0,0,1,1,1,0,0,2,0,0,0,0
