Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Shrubland,3,3,2,1,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Grassland,0,1,2,1,0,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Cropland,5,5,1,0,0,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Wetland,31,0,10,4,24,31,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Lichens_and_Mosses,1,1,0,1,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Bareland,7,6,8,0,8,12,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Built-up,2,3,2,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Water,32,27,18,14,0,33,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Forest,20,21,10,3,14,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUK_M_R,Permanent_ice_and_snow,12,13,5,3,7,12,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Grassland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Bareland,0,0,0,0,0,0,0,8,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Forest,0,3,0,0,2,0,0,24,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Wetland,0,0,0,0,2,0,0,58,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Water,0,8,0,0,0,0,0,16,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,13,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Shrubland,0,0,0,0,3,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Wetland,0,0,0,0,37,0,0,0,11,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Bareland,0,0,0,0,16,0,0,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Water,0,0,0,0,0,0,0,0,37,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Forest,0,0,0,0,28,0,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,Permanent_ice_and_snow,0,0,0,0,13,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,Water,6,8,2,20,0,19,15,0,0,20,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,Cropland,0,0,0,5,0,3,1,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,Wetland,3,0,1,14,2,9,6,0,0,12,2,0
SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,Bareland,3,0,0,0,0,6,3,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,Permanent_ice_and_snow,3,0,1,14,0,9,7,0,0,11,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,Forest,7,3,4,14,2,0,12,0,0,13,6,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,Wetland,0,0,0,10,12,13,0,0,0,0,8,14
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,Forest,0,3,0,3,2,0,0,0,0,0,2,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,Water,0,16,0,14,0,15,0,0,0,0,0,15
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,Grassland,0,2,0,1,1,3,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,Bareland,0,2,0,0,2,2,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,Lichens_and_Mosses,0,0,0,1,0,1,0,0,0,0,0,1
