Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Shrubland,3,3,2,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Grassland,0,3,1,1,0,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Cropland,8,8,4,1,1,8,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Wetland,34,0,20,7,24,36,1,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Lichens_and_Mosses,1,1,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Bareland,9,3,7,0,5,9,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Built-up,9,4,5,4,1,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Water,33,28,13,13,0,34,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Forest,21,18,7,7,11,0,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VMM_M_R,Permanent_ice_and_snow,7,7,0,1,3,10,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Bareland,0,1,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Built-up,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Forest,0,3,0,0,2,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Wetland,0,0,0,0,2,0,0,0,91,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Water,0,8,0,0,0,0,0,0,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Grassland,0,0,0,0,4,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Cropland,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Wetland,0,0,0,0,55,0,0,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Bareland,0,0,0,0,9,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Water,0,0,0,0,0,0,0,0,0,34,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Forest,0,0,0,0,27,0,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,Permanent_ice_and_snow,0,0,0,0,7,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Water,7,8,0,19,0,19,11,21,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Cropland,0,0,0,5,0,3,1,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Wetland,6,0,2,16,2,15,12,16,0,0,13,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Bareland,2,1,0,0,0,3,4,7,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Built-up,4,0,0,4,0,4,0,7,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Permanent_ice_and_snow,4,0,1,8,0,6,2,4,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,Forest,8,3,2,14,2,0,9,12,0,0,13,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Grassland,0,3,0,1,2,2,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Wetland,0,0,0,11,10,13,4,6,0,0,0,12
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Forest,0,3,0,2,2,0,2,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Water,0,22,0,11,0,13,0,0,0,0,0,15
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Bareland,0,3,0,0,1,1,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Built-up,0,0,0,1,1,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
