Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Shrubland,3,3,3,2,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Grassland,0,3,1,1,0,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Cropland,4,7,1,1,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Wetland,38,0,30,24,29,33,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Lichens_and_Mosses,3,3,0,3,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Bareland,17,10,15,0,10,12,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Built-up,13,8,9,10,4,13,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Water,35,33,31,26,0,32,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Forest,23,23,18,15,13,0,8,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXS_M_R,Permanent_ice_and_snow,11,9,4,5,7,7,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Cropland,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Bareland,0,3,0,0,2,0,0,0,13,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Built-up,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Forest,0,3,0,0,2,0,0,0,26,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Wetland,0,0,0,0,2,0,0,0,98,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Water,0,7,0,0,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Shrubland,0,0,0,0,4,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Grassland,0,0,0,0,5,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Wetland,0,0,0,0,57,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Lichens_and_Mosses,0,0,0,0,5,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Bareland,0,0,0,0,28,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Built-up,0,0,0,0,9,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Water,0,0,0,0,0,0,0,0,0,58,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Forest,0,0,0,0,34,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,Permanent_ice_and_snow,0,0,0,0,10,0,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Water,11,7,14,21,0,19,15,0,0,0,23,1
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Cropland,1,0,0,3,0,2,1,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Wetland,10,0,11,16,2,14,10,0,0,0,17,7
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Bareland,2,3,1,0,2,10,12,0,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Built-up,3,0,7,15,0,6,0,0,0,0,6,2
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Permanent_ice_and_snow,0,0,1,15,0,9,7,0,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,Forest,11,3,12,17,2,0,11,0,0,0,18,6
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Grassland,0,3,0,0,1,3,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Wetland,0,0,0,14,11,17,9,15,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Bareland,0,3,0,0,2,3,3,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Forest,0,3,0,3,2,0,1,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Water,0,21,0,17,0,20,11,10,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Lichens_and_Mosses,0,2,0,2,2,2,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,Built-up,0,1,0,1,1,1,0,2,0,0,0,0
