Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Forest,Bareland,Water,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Shrubland,2,2,1,2,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Grassland,0,1,1,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Cropland,5,5,1,6,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Wetland,15,0,3,25,1,18,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Lichens_and_Mosses,1,1,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Bareland,3,3,1,6,0,4,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Built-up,1,2,1,2,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Water,4,18,0,22,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Forest,12,15,2,0,1,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVG_M_R,Permanent_ice_and_snow,2,6,0,6,1,2,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Bareland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Forest,0,3,0,0,0,2,18,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Wetland,0,0,0,0,0,2,47,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Water,0,4,0,0,0,0,10,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Wetland,0,0,0,0,0,22,0,5,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Water,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Forest,0,0,0,0,0,19,0,5,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVG_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVG_M_R,Cropland,0,0,0,3,4,0,0,0,4,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVG_M_R,Wetland,3,0,0,7,10,2,0,0,5,8,5,0
SIBERIA_2024_GLC_FCS30D_2022_45VVG_M_R,Water,1,4,0,11,7,0,0,0,3,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_45VVG_M_R,Bareland,0,0,0,2,0,0,0,0,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVG_M_R,Permanent_ice_and_snow,3,0,0,6,6,0,0,0,2,1,2,0
SIBERIA_2024_GLC_FCS30D_2022_45VVG_M_R,Forest,5,3,2,0,12,2,0,0,6,7,4,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVG_M_R,Wetland,0,0,0,10,4,7,0,0,0,0,5,10
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVG_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVG_M_R,Forest,0,3,0,0,2,2,0,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVG_M_R,Water,0,15,0,11,6,0,0,0,0,0,0,7
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVG_M_R,Grassland,0,1,0,2,0,0,0,0,0,0,0,0
