Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXT_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXT_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXT_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXT_M_R,SIBERIA_2024_WorldCover_2021_42WXT_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Bareland
31,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Built-up
39,NULL,Grassland,NULL,Non_Wetland,Water
40,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,Grassland,Non_Water,Non_Wetland,Grassland
42,NULL,Grassland,Non_Water,Non_Wetland,Wetland
43,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,Non_Water,Non_Wetland,Bareland
45,NULL,Grassland,Non_Water,Non_Wetland,Water
46,NULL,Grassland,Non_Water,Non_Wetland,Forest
47,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,Water,Non_Wetland,Bareland
51,NULL,Grassland,Water,Non_Wetland,Forest
52,NULL,Cropland,NULL,Non_Wetland,Grassland
53,NULL,Cropland,NULL,Non_Wetland,Wetland
54,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
55,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,Cropland,Water,Non_Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,NULL
60,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,Wetland,NULL,Wetland,Wetland
62,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
63,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,Wetland,NULL,Wetland,Built-up
65,NULL,Wetland,NULL,Wetland,Water
66,NULL,Wetland,NULL,Wetland,Forest
67,NULL,Wetland,Non_Water,Wetland,Grassland
68,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Non_Water,Wetland,Bareland
71,NULL,Wetland,Non_Water,Wetland,Built-up
72,NULL,Wetland,Non_Water,Wetland,Water
73,NULL,Wetland,Non_Water,Wetland,Forest
74,NULL,Wetland,Water,Wetland,Grassland
75,NULL,Wetland,Water,Wetland,Wetland
76,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
77,NULL,Wetland,Water,Wetland,Bareland
78,NULL,Wetland,Water,Wetland,Water
79,NULL,Wetland,Water,Wetland,Forest
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
98,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
99,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
100,NULL,Bareland,NULL,Non_Wetland,NULL
101,NULL,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Bareland,NULL,Non_Wetland,Wetland
103,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,NULL,Non_Wetland,Bareland
105,NULL,Bareland,NULL,Non_Wetland,Built-up
106,NULL,Bareland,NULL,Non_Wetland,Water
107,NULL,Bareland,NULL,Non_Wetland,Forest
108,NULL,Bareland,Non_Water,Non_Wetland,Grassland
109,NULL,Bareland,Non_Water,Non_Wetland,Wetland
110,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Bareland,Non_Water,Non_Wetland,Bareland
112,NULL,Bareland,Non_Water,Non_Wetland,Built-up
113,NULL,Bareland,Non_Water,Non_Wetland,Water
114,NULL,Bareland,Non_Water,Non_Wetland,Forest
115,NULL,Bareland,Water,Non_Wetland,Grassland
116,NULL,Bareland,Water,Non_Wetland,Wetland
117,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Bareland,Water,Non_Wetland,Bareland
119,NULL,Bareland,Water,Non_Wetland,Built-up
120,NULL,Bareland,Water,Non_Wetland,Water
121,NULL,Bareland,Water,Non_Wetland,Forest
122,NULL,Built-up,NULL,Non_Wetland,Grassland
123,NULL,Built-up,NULL,Non_Wetland,Wetland
124,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Built-up,NULL,Non_Wetland,Water
128,NULL,Built-up,NULL,Non_Wetland,Forest
129,NULL,Built-up,Non_Water,Non_Wetland,Grassland
130,NULL,Built-up,Non_Water,Non_Wetland,Wetland
131,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,Built-up,Non_Water,Non_Wetland,Bareland
133,NULL,Built-up,Non_Water,Non_Wetland,Water
134,NULL,Built-up,Non_Water,Non_Wetland,Forest
135,NULL,Built-up,Water,Non_Wetland,Grassland
136,NULL,Built-up,Water,Non_Wetland,Bareland
137,NULL,Built-up,Water,Non_Wetland,Built-up
138,NULL,Built-up,Water,Non_Wetland,Water
139,NULL,Built-up,Water,Non_Wetland,Forest
140,NULL,Water,NULL,Water,Grassland
141,NULL,Water,NULL,Water,Wetland
142,NULL,Water,NULL,Water,Lichens_and_Mosses
143,NULL,Water,NULL,Water,Bareland
144,NULL,Water,NULL,Water,Water
145,NULL,Water,NULL,Water,Forest
146,NULL,Water,Non_Water,Water,Grassland
147,NULL,Water,Non_Water,Water,Wetland
148,NULL,Water,Non_Water,Water,Lichens_and_Mosses
149,NULL,Water,Non_Water,Water,Bareland
150,NULL,Water,Non_Water,Water,Water
151,NULL,Water,Non_Water,Water,Forest
152,NULL,Water,Water,Water,Grassland
153,NULL,Water,Water,Water,Wetland
154,NULL,Water,Water,Water,Lichens_and_Mosses
155,NULL,Water,Water,Water,Bareland
156,NULL,Water,Water,Water,Water
157,NULL,Water,Water,Water,Forest
158,NULL,Forest,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,Non_Wetland,Wetland
161,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
162,NULL,Forest,NULL,Non_Wetland,Bareland
163,NULL,Forest,NULL,Non_Wetland,Built-up
164,NULL,Forest,NULL,Non_Wetland,Water
165,NULL,Forest,NULL,Non_Wetland,Forest
166,NULL,Forest,Non_Water,Non_Wetland,Grassland
167,NULL,Forest,Non_Water,Non_Wetland,Wetland
168,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
169,NULL,Forest,Non_Water,Non_Wetland,Bareland
170,NULL,Forest,Non_Water,Non_Wetland,Water
171,NULL,Forest,Non_Water,Non_Wetland,Forest
172,NULL,Forest,Water,Non_Wetland,Grassland
173,NULL,Forest,Water,Non_Wetland,Wetland
174,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
175,NULL,Forest,Water,Non_Wetland,Bareland
176,NULL,Forest,Water,Non_Wetland,Water
177,NULL,Forest,Water,Non_Wetland,Forest
178,Cropland,Shrubland,NULL,Non_Wetland,Grassland
179,Cropland,Shrubland,NULL,Non_Wetland,Wetland
180,Cropland,Shrubland,NULL,Non_Wetland,Forest
181,Cropland,Grassland,NULL,Non_Wetland,Grassland
182,Cropland,Grassland,NULL,Non_Wetland,Wetland
183,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
184,Cropland,Grassland,NULL,Non_Wetland,Forest
185,Cropland,Wetland,NULL,Wetland,Grassland
186,Cropland,Wetland,NULL,Wetland,Wetland
187,Cropland,Wetland,NULL,Wetland,Forest
188,Cropland,Wetland,Non_Water,Wetland,Grassland
189,Cropland,Wetland,Non_Water,Wetland,Wetland
190,Cropland,Wetland,Water,Wetland,Wetland
191,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
192,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
193,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
194,Cropland,Bareland,NULL,Non_Wetland,Grassland
195,Cropland,Bareland,NULL,Non_Wetland,Wetland
196,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
197,Cropland,Bareland,NULL,Non_Wetland,Built-up
198,Cropland,Bareland,NULL,Non_Wetland,Forest
199,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
200,Cropland,Built-up,NULL,Non_Wetland,Grassland
201,Cropland,Built-up,NULL,Non_Wetland,Built-up
202,Cropland,Built-up,NULL,Non_Wetland,Forest
203,Cropland,Water,NULL,Water,Wetland
204,Cropland,Water,Water,Water,Wetland
205,Cropland,Forest,NULL,Non_Wetland,Grassland
206,Cropland,Forest,NULL,Non_Wetland,Wetland
207,Cropland,Forest,NULL,Non_Wetland,Water
208,Cropland,Forest,NULL,Non_Wetland,Forest
209,Cropland,Forest,Non_Water,Non_Wetland,Wetland
210,Wetland,NULL,NULL,Non_Wetland,Grassland
211,Wetland,NULL,NULL,Non_Wetland,Wetland
212,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
213,Wetland,NULL,NULL,Non_Wetland,Bareland
214,Wetland,NULL,NULL,Non_Wetland,Water
215,Wetland,NULL,NULL,Non_Wetland,Forest
216,Wetland,NULL,Non_Water,Non_Wetland,Grassland
217,Wetland,NULL,Non_Water,Non_Wetland,Wetland
218,Wetland,NULL,Non_Water,Non_Wetland,Water
219,Wetland,NULL,Non_Water,Non_Wetland,Forest
220,Wetland,NULL,Water,Non_Wetland,Grassland
221,Wetland,NULL,Water,Non_Wetland,Wetland
222,Wetland,NULL,Water,Non_Wetland,Water
223,Wetland,NULL,Water,Non_Wetland,Forest
224,Wetland,Shrubland,NULL,Non_Wetland,Grassland
225,Wetland,Shrubland,NULL,Non_Wetland,Wetland
226,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
227,Wetland,Shrubland,NULL,Non_Wetland,Bareland
228,Wetland,Shrubland,NULL,Non_Wetland,Water
229,Wetland,Shrubland,NULL,Non_Wetland,Forest
230,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
231,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
232,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
233,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
234,Wetland,Shrubland,Non_Water,Non_Wetland,Water
235,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
236,Wetland,Shrubland,Water,Non_Wetland,Grassland
237,Wetland,Shrubland,Water,Non_Wetland,Wetland
238,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
239,Wetland,Shrubland,Water,Non_Wetland,Water
240,Wetland,Shrubland,Water,Non_Wetland,Forest
241,Wetland,Grassland,NULL,Non_Wetland,Grassland
242,Wetland,Grassland,NULL,Non_Wetland,Wetland
243,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
244,Wetland,Grassland,NULL,Non_Wetland,Bareland
245,Wetland,Grassland,NULL,Non_Wetland,Built-up
246,Wetland,Grassland,NULL,Non_Wetland,Water
247,Wetland,Grassland,NULL,Non_Wetland,Forest
248,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
249,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
250,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
251,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
252,Wetland,Grassland,Non_Water,Non_Wetland,Water
253,Wetland,Grassland,Non_Water,Non_Wetland,Forest
254,Wetland,Grassland,Water,Non_Wetland,Grassland
255,Wetland,Grassland,Water,Non_Wetland,Wetland
256,Wetland,Grassland,Water,Non_Wetland,Bareland
