Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow,Cropland
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Shrubland,23,33,20,3,11,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Grassland,0,3,3,3,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Wetland,75,0,74,45,112,7,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Lichens_and_Mosses,3,3,0,3,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Bareland,37,32,39,0,42,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Built-up,3,1,5,3,4,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Water,39,56,39,35,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Permanent_ice_and_snow,26,17,25,20,22,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Forest,14,21,6,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XVB_M_R,Cropland,0,7,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Shrubland,0,0,0,0,0,0,45,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Grassland,0,0,0,0,0,0,14,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,10,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Bareland,0,18,0,0,2,0,48,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Forest,0,0,0,0,0,0,21,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Wetland,0,0,0,0,13,0,210,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Water,0,29,0,0,0,0,56,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,Permanent_ice_and_snow,0,4,0,0,0,0,17,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Shrubland,0,0,0,0,20,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Grassland,0,0,0,0,12,0,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Wetland,0,0,0,0,159,0,0,33,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Lichens_and_Mosses,0,0,0,0,11,0,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Bareland,0,0,0,0,48,0,0,18,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Built-up,0,0,0,0,2,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Water,0,0,0,0,0,0,0,71,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Permanent_ice_and_snow,0,0,0,0,26,0,0,11,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Forest,0,0,0,0,12,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Water,25,59,30,24,0,15,0,0,43,13,5,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Cropland,2,0,0,2,0,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Wetland,36,0,33,43,17,23,0,0,57,8,1,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Bareland,12,39,24,0,6,2,0,0,42,5,3,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Built-up,0,0,1,3,0,0,0,0,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Permanent_ice_and_snow,10,17,11,12,6,10,0,0,16,9,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Forest,4,0,4,10,0,0,0,0,10,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,Shrubland,11,3,12,19,0,1,0,0,0,1,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,Wetland,0,0,0,35,44,24,0,0,0,10,77,4
SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,Water,0,53,0,30,0,7,0,0,0,0,51,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,Grassland,0,7,0,1,2,2,0,0,0,1,6,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,Lichens_and_Mosses,0,5,0,3,2,3,0,0,0,1,6,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,Bareland,0,16,0,0,8,2,0,0,0,0,42,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,Shrubland,0,15,0,0,3,4,0,0,0,0,17,0
SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,Grassland,0,4,0,6,0,0,0,0,6,0,0,0
SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,Wetland,0,0,0,62,7,10,0,0,56,0,1,0
SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,Lichens_and_Mosses,0,2,0,6,0,0,0,0,4,0,0,0
SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,Water,0,51,0,35,0,0,0,0,17,0,8,0
SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
