Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Built-up,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Shrubland,3,3,1,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Grassland,0,1,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Cropland,3,6,1,0,0,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Wetland,34,0,18,1,25,34,18,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Lichens_and_Mosses,1,1,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Bareland,8,4,11,2,9,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Built-up,3,5,2,0,1,6,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Water,32,26,19,0,0,32,24,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Forest,20,18,4,0,11,0,9,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPP_M_R,Permanent_ice_and_snow,12,12,6,1,6,17,9,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Grassland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Bareland,0,3,0,0,2,0,0,7,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Forest,0,3,0,0,2,0,0,21,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Wetland,0,0,0,0,2,0,0,84,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Water,0,7,0,0,0,0,0,18,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,12,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Wetland,0,0,0,0,55,0,0,0,12,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Bareland,0,0,0,0,23,0,0,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Built-up,0,0,0,0,4,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Water,0,0,0,0,0,0,0,0,37,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Forest,0,0,0,0,32,0,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,Permanent_ice_and_snow,0,0,0,0,18,0,0,0,2,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Water,1,7,4,18,0,19,20,0,0,19,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Cropland,1,0,0,1,0,3,4,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Wetland,4,0,5,14,2,13,16,0,0,13,6,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Bareland,0,3,2,9,2,3,0,0,0,5,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Built-up,0,0,0,0,0,1,5,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Permanent_ice_and_snow,4,0,2,10,0,10,16,0,0,13,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,Forest,5,3,4,10,2,0,15,0,0,14,5,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,Wetland,0,0,0,3,13,15,14,0,0,0,5,19
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,Forest,0,3,0,1,2,0,3,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,Water,0,21,0,0,0,16,14,0,0,0,0,22
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,Grassland,0,2,0,0,1,1,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,Bareland,0,3,0,1,2,3,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
