Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Forest,Bareland,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Shrubland,2,3,1,2,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Grassland,0,1,1,2,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Cropland,5,7,1,7,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Wetland,27,0,10,29,9,26,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Lichens_and_Mosses,1,1,0,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Bareland,5,3,4,6,0,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Built-up,1,1,1,2,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Water,22,22,9,30,11,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Forest,19,20,4,0,3,13,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUG_M_R,Permanent_ice_and_snow,10,14,4,13,6,8,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Bareland,0,3,0,0,0,1,4,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Forest,0,3,0,0,0,2,23,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Wetland,0,0,0,0,0,2,62,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Water,0,8,0,0,0,0,15,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,14,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Wetland,0,0,0,0,0,37,0,9,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Bareland,0,0,0,0,0,13,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Water,0,0,0,0,0,0,0,23,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Forest,0,0,0,0,0,26,0,7,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Permanent_ice_and_snow,0,0,0,0,0,15,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,Water,2,8,0,17,19,0,0,0,11,3,7,0
SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,Cropland,0,0,0,3,4,0,0,0,4,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,Wetland,3,0,1,11,13,2,0,0,9,9,7,0
SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,Bareland,0,3,0,3,0,1,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,Permanent_ice_and_snow,3,0,3,10,13,0,0,0,9,3,6,0
SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,Forest,4,3,4,0,14,2,0,0,11,10,7,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,Wetland,0,0,0,12,11,11,0,0,0,5,0,19
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,Water,0,18,0,13,8,0,0,0,0,1,0,18
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,Forest,0,3,0,0,1,2,0,0,0,1,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,Grassland,0,1,0,2,0,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,Bareland,0,1,0,2,0,1,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,0,0,1
