Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Shrubland,3,3,3,2,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Grassland,0,3,3,2,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Wetland,44,0,36,31,34,37,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Lichens_and_Mosses,3,3,0,2,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Bareland,10,9,16,0,13,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Built-up,12,8,6,7,3,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Water,39,41,38,31,0,35,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Forest,21,22,17,12,10,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWV_M_R,Permanent_ice_and_snow,21,19,16,16,13,21,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Bareland,0,3,0,0,2,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Built-up,0,2,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Forest,0,3,0,0,2,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Wetland,0,0,0,0,2,0,0,109,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Water,0,7,0,0,0,0,0,26,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,18,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Shrubland,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Grassland,0,0,0,0,7,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Wetland,0,0,0,0,70,0,0,0,14,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Lichens_and_Mosses,0,0,0,0,9,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Bareland,0,0,0,0,22,0,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Built-up,0,0,0,0,13,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Water,0,0,0,0,0,0,0,0,58,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Forest,0,0,0,0,35,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,Permanent_ice_and_snow,0,0,0,0,29,0,0,0,7,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,Water,16,20,19,21,0,20,15,0,0,21,0
SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,Wetland,15,0,15,15,7,14,16,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,Bareland,2,3,9,0,3,10,8,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,Built-up,5,7,7,12,0,6,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,Permanent_ice_and_snow,13,8,15,15,2,15,12,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,Forest,12,7,11,14,3,0,7,0,0,14,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Water,0,28,0,16,0,10,4,0,0,0,25
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Grassland,0,3,0,1,1,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Lichens_and_Mosses,0,3,0,3,2,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Bareland,0,3,0,0,2,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Forest,0,3,0,1,2,0,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,Wetland,0,0,0,13,13,17,10,0,0,0,21
