Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Forest,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Shrubland,21,45,18,24,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Grassland,0,3,2,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Wetland,71,0,56,93,33,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Lichens_and_Mosses,3,3,0,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Bareland,35,63,32,45,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Built-up,2,3,3,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Water,47,87,35,0,31,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Forest,5,20,1,4,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEA_M_R,Permanent_ice_and_snow,16,16,15,15,15,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Shrubland,0,0,0,0,0,55,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Grassland,0,0,0,0,0,12,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Lichens_and_Mosses,0,0,0,0,0,12,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Bareland,0,18,0,13,0,85,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Forest,0,0,0,0,0,20,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
