Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Built-up,Cropland,Bareland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Grassland,0,3,1,0,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Cropland,8,9,1,1,8,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Wetland,37,0,4,23,33,4,9,8,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Lichens_and_Mosses,1,1,0,1,3,0,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Bareland,6,4,1,5,7,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Built-up,14,9,2,2,11,0,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Water,34,32,1,0,26,7,2,16,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Forest,18,21,5,12,0,0,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPM_M_R,Permanent_ice_and_snow,2,1,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Bareland,0,1,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Built-up,0,1,0,0,0,0,0,0,11,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Forest,0,3,0,2,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Wetland,0,0,0,2,0,0,0,0,90,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Water,0,9,0,0,0,0,0,0,28,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Grassland,0,0,0,3,0,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Wetland,0,0,0,40,0,0,0,0,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Bareland,0,0,0,8,0,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Water,0,0,0,0,0,0,0,0,0,38,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Forest,0,0,0,23,0,0,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,Built-up,0,0,0,6,0,0,0,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Water,6,9,13,0,18,13,12,21,0,0,15,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Cropland,0,0,3,0,3,0,0,3,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Wetland,9,0,10,2,13,7,12,15,0,0,13,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Bareland,0,1,0,0,4,1,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Built-up,2,1,4,0,6,0,4,9,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Permanent_ice_and_snow,0,0,1,0,1,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,Forest,4,3,6,2,0,2,10,13,0,0,12,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Grassland,0,3,0,2,1,2,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Wetland,0,0,0,12,11,7,5,7,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Forest,0,3,0,2,0,1,1,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Water,0,20,0,0,12,1,0,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Lichens_and_Mosses,0,2,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Bareland,0,2,0,2,1,2,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,Built-up,0,2,0,2,0,0,0,0,0,0,0,0
