Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Grassland,0,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Wetland,34,0,35,32,29,29,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Lichens_and_Mosses,3,3,0,2,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Bareland,10,15,20,0,15,6,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Built-up,8,8,11,13,7,11,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Water,34,35,38,36,0,30,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Forest,21,24,21,18,15,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNB_M_R,Permanent_ice_and_snow,18,20,18,15,13,16,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Bareland,0,3,0,0,2,0,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Built-up,0,0,0,0,1,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Forest,0,3,0,0,2,0,0,27,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Wetland,0,0,0,0,2,0,0,110,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Water,0,7,0,0,0,0,0,27,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,20,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Shrubland,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Grassland,0,0,0,0,8,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Wetland,0,0,0,0,59,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Lichens_and_Mosses,0,0,0,0,8,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Bareland,0,0,0,0,30,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Built-up,0,0,0,0,10,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Water,0,0,0,0,0,0,0,0,58,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Forest,0,0,0,0,41,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,Permanent_ice_and_snow,0,0,0,0,29,0,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,Water,21,7,13,21,0,20,21,0,0,23,0
SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,Wetland,14,0,14,16,2,15,17,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,Bareland,8,3,5,0,2,11,12,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,Built-up,8,0,6,11,1,3,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,Permanent_ice_and_snow,15,0,8,16,0,14,17,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,Forest,14,3,9,14,2,0,17,0,0,17,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Water,0,23,0,17,0,19,4,0,0,0,25
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Grassland,0,3,0,1,2,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Lichens_and_Mosses,0,3,0,3,1,3,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Bareland,0,3,0,0,2,3,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Forest,0,3,0,2,2,0,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,Wetland,0,0,0,11,11,15,0,0,0,0,18
