Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Shrubland,3,3,3,2,1,2,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Grassland,0,1,3,1,1,1,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Cropland,18,0,16,3,2,4,2,9,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Wetland,42,31,0,11,13,7,29,36,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Lichens_and_Mosses,3,1,3,0,1,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Bareland,11,7,6,3,0,6,6,14,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Built-up,19,13,9,5,8,0,10,20,1,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Water,37,18,37,4,22,7,0,37,1,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Forest,24,10,22,8,7,8,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPG_M_R,Permanent_ice_and_snow,13,1,5,0,1,0,3,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,Cropland,0,0,1,0,0,0,0,0,0,19,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,4,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,Bareland,0,0,3,0,0,0,0,0,0,7,0,0
