Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Forest,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Shrubland,3,3,1,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Grassland,0,3,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Cropland,5,4,0,7,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Wetland,29,0,6,31,25,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Lichens_and_Mosses,1,1,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Bareland,7,7,2,10,7,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Built-up,2,3,1,5,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Water,26,27,14,31,0,13,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Forest,18,17,4,0,10,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVL_M_R,Permanent_ice_and_snow,10,11,5,12,5,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Grassland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Bareland,0,0,0,0,1,0,9,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Forest,0,3,0,0,2,0,20,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Wetland,0,0,0,0,2,0,65,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Water,0,7,0,0,0,0,18,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,11,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Grassland,0,0,0,0,6,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Wetland,0,0,0,0,43,0,0,9,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Bareland,0,0,0,0,14,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Water,0,0,0,0,0,0,0,25,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Forest,0,0,0,0,26,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Permanent_ice_and_snow,0,0,0,0,16,0,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Water,12,7,4,18,0,17,0,0,16,8,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Cropland,1,0,0,3,0,4,0,0,4,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Wetland,8,0,3,9,2,14,0,0,12,7,2,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Bareland,1,0,0,6,1,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Built-up,0,0,0,1,0,2,0,0,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Permanent_ice_and_snow,4,0,1,11,0,12,0,0,6,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,Forest,8,3,3,0,2,13,0,0,10,7,2,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,Grassland,0,2,0,3,2,1,0,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,Wetland,0,0,0,11,10,9,0,0,0,2,6,15
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,Forest,0,3,0,0,2,3,0,0,0,1,3,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,Water,0,19,0,13,0,11,0,0,0,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,Bareland,0,2,0,1,2,0,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,1
