Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Forest,Water,Cropland,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Shrubland,3,2,2,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Grassland,0,1,2,1,0,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Cropland,8,3,5,3,0,10,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Wetland,33,0,18,12,3,33,23,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Lichens_and_Mosses,1,1,0,2,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Bareland,11,4,12,0,1,14,8,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Built-up,8,3,4,5,0,8,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Water,32,31,29,23,5,36,0,0,2,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Forest,21,19,14,11,5,0,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWG_M_R,Permanent_ice_and_snow,7,2,3,4,1,9,4,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Shrubland,0,0,0,0,0,0,0,0,0,2,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Grassland,0,0,0,0,0,0,0,0,0,4,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Cropland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,2,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Bareland,0,2,0,0,0,0,1,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Built-up,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Forest,0,3,0,0,0,0,2,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Wetland,0,0,0,0,0,0,2,0,0,86,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Water,0,8,0,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Grassland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Wetland,0,0,0,0,0,0,42,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Bareland,0,0,0,0,0,0,27,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Water,0,0,0,0,0,0,0,0,0,0,35,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Forest,0,0,0,0,0,0,36,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Water,12,8,14,22,21,18,0,13,0,0,0,20
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Cropland,1,0,0,6,2,3,0,0,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Wetland,4,0,5,15,14,14,2,10,0,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Bareland,7,2,7,0,4,4,1,0,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Built-up,1,0,4,6,0,0,0,1,0,0,0,3
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Permanent_ice_and_snow,3,0,5,6,3,4,0,2,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,Forest,10,3,8,17,12,0,2,12,0,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Wetland,0,0,0,10,0,13,11,5,10,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Bareland,0,2,0,0,1,2,2,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Forest,0,3,0,2,0,0,2,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Water,0,22,0,13,0,16,0,0,9,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Grassland,0,3,0,2,0,3,1,0,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Lichens_and_Mosses,0,1,0,2,0,1,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,Built-up,0,0,0,0,0,0,1,0,1,0,0,0
