Dataset,MajorityClass,Grassland,Wetland,Forest,Lichens_and_Mosses,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Grassland,0,1,3,1,3,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Cropland,7,6,6,1,1,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Wetland,29,0,29,2,6,7,18,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Bareland,8,3,9,4,0,3,4,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Built-up,9,4,14,1,6,0,0,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Water,26,21,30,0,6,4,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Forest,18,15,0,2,5,5,7,6,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFF_M_R,Permanent_ice_and_snow,4,1,8,0,1,2,1,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Grassland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Cropland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Bareland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Built-up,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Forest,0,3,0,0,0,0,2,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Wetland,0,0,0,0,0,0,2,0,67,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Water,0,7,0,0,0,0,0,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Grassland,0,0,0,0,0,0,4,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Wetland,0,0,0,0,0,0,33,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Bareland,0,0,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Built-up,0,0,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Water,0,0,0,0,0,0,0,0,0,22,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Forest,0,0,0,0,0,0,20,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Water,6,7,15,1,16,10,0,13,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Cropland,0,0,3,0,4,3,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Wetland,9,0,13,1,14,3,2,12,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Bareland,2,0,2,0,0,5,0,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Built-up,4,0,6,2,8,0,0,4,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Permanent_ice_and_snow,1,0,3,0,6,4,0,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,Forest,5,3,0,2,14,6,2,9,0,0,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Wetland,0,0,12,0,4,4,9,5,0,0,0,7
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Built-up,0,1,1,0,1,0,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Forest,0,3,0,0,3,1,2,1,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Water,0,16,10,0,5,1,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Grassland,0,3,1,0,1,1,2,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Bareland,0,3,1,0,0,1,1,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,Cropland,0,0,1,0,0,1,0,0,0,0,0,0
