Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Cropland,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Shrubland,3,3,3,3,1,1,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Grassland,0,3,1,0,0,0,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Cropland,8,8,1,1,2,0,0,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Wetland,40,0,25,28,19,32,6,37,2,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Lichens_and_Mosses,3,3,0,1,0,0,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Bareland,10,5,8,0,6,11,3,8,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Built-up,15,16,11,15,0,11,2,15,3,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Water,30,31,15,24,6,0,3,32,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Forest,18,19,10,9,5,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCK_M_R,Permanent_ice_and_snow,12,10,6,9,8,6,0,8,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Cropland,0,0,0,0,0,0,0,0,0,8,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Bareland,0,3,0,0,0,1,0,0,0,8,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Built-up,0,2,0,0,0,1,0,0,0,19,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Forest,0,3,0,0,0,2,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Wetland,0,0,0,0,0,2,0,0,0,138,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Water,0,7,0,0,0,0,0,0,0,21,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Grassland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Wetland,0,0,0,0,0,68,0,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Bareland,0,0,0,0,0,19,0,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Built-up,0,0,0,0,0,25,0,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Water,0,0,0,0,0,0,0,0,0,0,49,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Forest,0,0,0,0,0,25,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Water,3,7,6,20,12,0,0,19,1,0,0,19
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Cropland,2,0,2,6,2,0,0,6,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Wetland,12,0,16,24,19,2,0,20,9,0,0,24
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Bareland,1,3,1,0,6,1,0,5,2,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Built-up,4,2,7,20,0,1,0,12,3,0,0,11
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Permanent_ice_and_snow,2,0,4,17,7,0,0,12,3,0,0,9
SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,Forest,5,3,6,15,4,2,0,0,4,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Grassland,0,3,0,0,1,0,1,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Wetland,0,0,0,9,16,11,17,14,6,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Bareland,0,3,0,0,3,2,3,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Built-up,0,3,0,1,0,1,3,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Water,0,31,0,10,16,0,17,12,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Forest,0,3,0,3,3,2,3,0,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,Lichens_and_Mosses,0,3,0,0,2,0,1,1,0,0,0,0
