Dataset,MajorityClass,Grassland,Bareland,Built-up,Shrubland,Lichens_and_Mosses,Forest,Water,Wetland,Cropland,Permanent_ice_and_snow,Non_Wetland,Non_Water
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Cropland,1,1,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Wetland,15,20,15,15,21,4,3,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Bareland,15,0,20,13,23,1,5,13,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Built-up,1,3,0,1,3,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Water,8,12,7,9,14,1,0,14,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Permanent_ice_and_snow,1,3,3,3,4,0,1,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Forest,7,14,2,11,13,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,Shrubland,15,16,9,0,15,4,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,Wetland,0,8,17,0,0,15,19,0,5,22,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,Water,0,8,4,0,0,5,0,21,0,10,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,Shrubland,0,0,5,0,0,13,10,16,3,9,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,Bareland,0,0,11,0,0,8,11,15,3,12,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,Forest,0,0,0,0,0,0,4,11,0,1,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,90,0
SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,Water,0,0,0,0,0,0,0,9,0,0,12,0
SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,16,0
SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,Bareland,0,0,0,0,0,0,2,3,0,0,17,0
SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,3,0
SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,Forest,0,0,0,0,0,0,0,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Wetland,0,0,0,0,0,0,47,0,0,0,0,6
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Water,0,0,0,0,0,0,0,0,0,0,0,25
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Bareland,0,0,0,0,0,0,33,0,0,0,0,6
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Forest,0,0,0,0,0,0,14,0,0,0,0,1
SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,Shrubland,0,0,0,0,0,0,18,0,0,0,0,4
SIBERIA_2024_ESA_CALU_2024_41WPV_M_R,Wetland,0,15,0,12,0,2,2,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_41WPV_M_R,Water,0,26,0,14,0,9,0,17,0,5,0,0
SIBERIA_2024_ESA_CALU_2024_41WPV_M_R,Bareland,0,0,0,1,0,0,0,2,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_41WPV_M_R,Built-up,0,3,0,1,0,0,0,3,0,0,0,0
