Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Shrubland,38,60,25,20,34,6,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Grassland,0,3,3,2,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Wetland,94,0,89,77,110,7,26,2,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Lichens_and_Mosses,3,3,0,3,2,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Bareland,42,73,57,0,58,2,19,3,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Built-up,12,21,14,16,15,11,0,2,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Water,49,93,66,48,0,0,13,2,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Forest,11,39,4,1,13,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXE_M_R,Permanent_ice_and_snow,12,13,14,9,9,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Shrubland,0,0,0,0,0,0,0,0,99,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Grassland,0,0,0,0,0,0,0,0,20,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Bareland,0,26,0,0,15,0,0,0,133,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Built-up,0,6,0,0,4,0,0,0,43,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Forest,0,0,0,0,0,0,0,0,48,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Wetland,0,0,0,0,20,0,0,0,323,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Water,0,27,0,0,0,0,0,0,97,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,13,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Shrubland,0,0,0,0,29,0,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Grassland,0,0,0,0,10,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Wetland,0,0,0,0,169,0,0,0,0,44,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Lichens_and_Mosses,0,0,0,0,15,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Bareland,0,0,0,0,100,0,0,0,0,31,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Built-up,0,0,0,0,35,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Water,0,0,0,0,0,0,0,0,0,91,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Forest,0,0,0,0,10,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,Permanent_ice_and_snow,0,0,0,0,15,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Water,25,48,64,52,0,2,40,0,0,0,30
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Wetland,43,0,71,74,22,16,67,0,0,0,50
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Bareland,27,35,76,0,17,2,74,0,0,0,15
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Built-up,4,8,20,14,4,0,0,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Permanent_ice_and_snow,4,9,11,12,2,1,11,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Forest,7,0,11,20,0,0,5,0,0,0,15
SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,Shrubland,23,0,42,45,0,5,31,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Water,0,77,0,27,0,5,34,48,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Grassland,0,11,0,0,5,1,0,7,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Lichens_and_Mosses,0,9,0,4,7,0,5,12,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Bareland,0,56,0,0,36,3,34,52,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Built-up,0,4,0,3,1,0,0,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Wetland,0,0,0,24,67,18,64,87,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Shrubland,0,42,0,1,16,13,13,34,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,Forest,0,11,0,0,3,0,1,1,0,0,0
SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,Grassland,0,6,0,8,0,4,0,0,0,0,9
SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,Wetland,0,0,0,79,16,26,0,0,0,0,68
SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,Lichens_and_Mosses,0,10,0,12,0,0,0,0,0,0,11
SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,Water,0,79,0,90,0,20,0,4,0,0,57
SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,Bareland,0,10,0,0,0,0,0,0,0,0,9
SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,Built-up,0,18,0,31,0,0,0,0,0,0,14
