Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Permanent_ice_and_snow,Forest,Built-up,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Shrubland,3,3,3,3,2,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Grassland,0,3,3,2,2,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Wetland,35,0,34,29,33,0,28,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Lichens_and_Mosses,3,3,0,3,2,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Bareland,10,14,10,0,13,0,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Built-up,6,11,4,8,5,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Water,35,35,36,34,0,1,25,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Forest,19,22,17,11,12,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNS_M_R,Permanent_ice_and_snow,18,20,18,17,15,0,15,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Bareland,0,3,0,0,2,0,0,0,17,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Built-up,0,2,0,0,0,0,0,0,11,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Forest,0,3,0,0,2,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Wetland,0,0,0,0,2,0,0,0,109,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Water,0,9,0,0,0,0,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,20,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Shrubland,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Grassland,0,0,0,0,8,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Wetland,0,0,0,0,70,0,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Lichens_and_Mosses,0,0,0,0,8,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Bareland,0,0,0,0,26,0,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Built-up,0,0,0,0,10,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Water,0,0,0,0,0,0,0,0,0,56,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Forest,0,0,0,0,36,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,Permanent_ice_and_snow,0,0,0,0,31,0,0,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,Water,18,16,16,22,0,0,23,15,0,0,25
SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,Wetland,13,0,14,16,4,0,16,14,0,0,20
SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,Bareland,0,4,6,0,2,0,10,4,0,0,12
SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,Built-up,1,2,3,8,0,0,3,0,0,0,5
SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,Permanent_ice_and_snow,14,1,13,16,0,0,16,14,0,0,20
SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,Forest,9,3,10,14,2,0,0,6,0,0,19
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,Water,0,27,0,16,0,28,19,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,Grassland,0,3,0,0,2,3,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,Lichens_and_Mosses,0,3,0,2,2,3,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,Bareland,0,3,0,0,2,3,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,Forest,0,3,0,2,2,3,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,Wetland,0,0,0,12,12,20,15,7,0,0,0
