Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Shrubland,3,3,3,3,1,2,1,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Grassland,0,3,3,3,1,2,0,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Wetland,33,0,34,29,9,31,0,30,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Lichens_and_Mosses,3,3,0,3,3,2,1,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Bareland,11,11,10,0,5,13,6,7,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Built-up,17,6,11,20,0,11,1,17,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Water,36,32,36,38,9,0,3,33,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Permanent_ice_and_snow,18,19,22,21,11,16,0,17,0,0,0
SIBERIA_2024_WorldCover_2021_41WNR_M_R,Forest,20,22,19,15,11,13,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Bareland,0,3,0,0,0,2,0,0,14,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Built-up,0,2,0,0,0,1,0,0,8,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Forest,0,3,0,0,0,2,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Wetland,0,0,0,0,0,2,0,0,117,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Water,0,9,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,Permanent_ice_and_snow,0,1,0,0,0,2,0,0,19,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Grassland,0,0,0,0,0,8,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Wetland,0,0,0,0,0,67,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Lichens_and_Mosses,0,0,0,0,0,11,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Bareland,0,0,0,0,0,30,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Built-up,0,0,0,0,0,27,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Water,0,0,0,0,0,0,0,0,0,58,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Forest,0,0,0,0,0,46,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,Permanent_ice_and_snow,0,0,0,0,0,39,0,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,Water,14,9,21,22,16,0,0,24,0,0,25
SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,Wetland,15,0,16,18,12,2,0,18,0,0,22
SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,Bareland,1,3,8,0,7,2,1,11,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,Built-up,4,2,14,16,0,1,0,10,0,0,16
SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,Permanent_ice_and_snow,15,1,17,21,15,5,0,20,0,0,22
SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,Forest,12,3,13,18,8,2,0,0,0,0,22
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Water,0,27,0,17,13,0,31,19,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Grassland,0,3,0,1,1,1,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Lichens_and_Mosses,0,3,0,3,3,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Bareland,0,3,0,0,3,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Built-up,0,2,0,2,0,0,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Forest,0,3,0,2,3,2,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Wetland,0,0,0,7,9,12,21,16,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
