Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Shrubland,46,58,31,19,39,16,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Grassland,0,3,3,3,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Wetland,124,0,100,78,128,39,4,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Lichens_and_Mosses,3,3,0,3,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Bareland,51,60,58,0,54,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Built-up,7,12,7,10,6,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Water,87,98,73,57,0,28,1,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Forest,40,60,17,18,33,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Cropland,0,12,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXC_M_R,Permanent_ice_and_snow,16,18,11,13,15,2,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Shrubland,0,0,0,0,0,0,0,0,118,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Grassland,0,0,0,0,0,0,0,0,22,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Bareland,0,19,0,0,8,0,0,0,125,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Built-up,0,3,0,0,0,0,0,0,16,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Forest,0,4,0,0,2,0,0,0,108,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Cropland,0,0,0,0,0,0,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Wetland,0,0,0,0,24,0,0,0,365,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Water,0,31,0,0,0,0,0,0,102,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,19,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXC_M_R,Shrubland,0,0,0,0,42,0,0,0,0,15,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXC_M_R,Grassland,0,0,0,0,12,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXC_M_R,Wetland,0,0,0,0,202,0,0,0,0,61,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXC_M_R,Lichens_and_Mosses,0,0,0,0,15,0,0,0,0,3,0,0
