Dataset,MajorityClass,Grassland,Wetland,Forest,Cropland,Bareland,Built-up,Water,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Grassland,0,1,2,1,2,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Cropland,7,7,7,0,1,3,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Wetland,30,0,29,3,2,7,20,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Lichens_and_Mosses,0,1,1,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Bareland,7,3,9,1,0,1,3,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Built-up,11,4,9,5,6,0,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Water,28,22,28,1,8,1,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Forest,19,14,0,5,3,7,6,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLL_M_R,Permanent_ice_and_snow,4,1,5,1,1,2,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Grassland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Bareland,0,1,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Built-up,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Forest,0,3,0,0,0,0,2,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Wetland,0,0,0,0,0,0,2,0,65,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Water,0,8,0,0,0,0,0,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Grassland,0,0,0,0,0,0,3,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Wetland,0,0,0,0,0,0,35,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Bareland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Water,0,0,0,0,0,0,0,0,0,24,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,Forest,0,0,0,0,0,0,21,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Water,7,8,14,16,16,11,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Cropland,0,0,3,0,4,3,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Wetland,7,0,14,12,15,3,2,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Bareland,2,1,1,1,0,4,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Built-up,5,0,8,6,8,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Permanent_ice_and_snow,1,0,3,2,4,3,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,Forest,4,3,0,9,11,7,2,2,0,0,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Wetland,0,0,13,4,5,6,8,0,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Built-up,0,1,1,1,1,0,1,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Forest,0,3,0,1,2,2,2,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Water,0,17,9,0,7,0,0,0,0,0,0,5
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Grassland,0,3,2,0,0,1,2,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Cropland,0,1,1,0,0,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,Bareland,0,2,1,0,0,1,1,0,0,0,0,1
