Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Forest,Bareland,Cropland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Grassland,0,0,1,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Cropland,6,8,1,8,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Wetland,29,0,10,27,11,4,21,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Bareland,4,3,1,6,0,0,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Built-up,6,3,2,7,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Water,20,23,3,26,13,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Forest,17,17,6,0,6,0,12,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPL_M_R,Permanent_ice_and_snow,4,4,0,5,1,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Bareland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Forest,0,3,0,0,0,0,2,0,20,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Wetland,0,0,0,0,0,0,2,0,68,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Water,0,7,0,0,0,0,0,0,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Grassland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Wetland,0,0,0,0,0,0,42,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Bareland,0,0,0,0,0,0,5,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Water,0,0,0,0,0,0,0,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Forest,0,0,0,0,0,0,25,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPL_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Water,5,7,0,13,15,14,0,11,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Cropland,0,0,0,3,3,0,0,1,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Wetland,3,0,0,10,14,16,2,9,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Bareland,0,0,0,2,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Built-up,2,0,0,1,2,4,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Permanent_ice_and_snow,0,0,0,2,4,4,0,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPL_M_R,Forest,2,3,0,0,14,16,2,8,0,0,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPL_M_R,Wetland,0,0,0,11,6,6,9,1,0,0,0,9
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPL_M_R,Forest,0,3,0,0,2,1,2,1,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPL_M_R,Water,0,19,0,14,6,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPL_M_R,Grassland,0,2,0,0,1,0,1,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPL_M_R,Cropland,0,1,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPL_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,0,0
