Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland,Built-up,Forest,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Shrubland,1,3,2,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Grassland,0,2,1,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Wetland,25,0,31,21,21,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Lichens_and_Mosses,1,3,2,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Bareland,3,12,11,0,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Built-up,2,3,2,3,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Water,11,26,0,22,14,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Cropland,0,5,5,4,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Permanent_ice_and_snow,5,13,9,5,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XEB_M_R,Forest,0,9,6,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Grassland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Lichens_and_Mosses,0,0,0,0,0,6,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Bareland,0,3,2,0,0,13,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Cropland,0,0,0,0,0,5,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Wetland,0,0,2,0,0,51,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Water,0,4,0,0,0,9,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Permanent_ice_and_snow,0,0,0,0,0,12,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEB_M_R,Forest,0,0,0,0,0,9,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Shrubland,0,0,1,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Wetland,0,0,44,0,0,0,14,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Lichens_and_Mosses,0,0,5,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Bareland,0,0,13,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Built-up,0,0,3,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Water,0,0,0,0,0,0,29,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Cropland,0,0,1,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Permanent_ice_and_snow,0,0,8,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEB_M_R,Forest,0,0,3,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEB_M_R,Water,2,16,0,9,12,0,0,6,12,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEB_M_R,Cropland,0,0,0,2,7,0,0,0,5,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEB_M_R,Wetland,4,0,5,11,11,0,0,9,14,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEB_M_R,Bareland,0,10,3,0,7,0,0,0,10,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEB_M_R,Permanent_ice_and_snow,0,4,1,9,8,0,0,5,11,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEB_M_R,Forest,0,0,0,5,5,0,0,5,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEB_M_R,Wetland,0,0,9,13,0,0,0,0,0,3,9,17
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEB_M_R,Water,0,20,0,17,0,0,0,0,0,5,2,20
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEB_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEB_M_R,Lichens_and_Mosses,0,3,0,1,0,0,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEB_M_R,Bareland,0,2,2,0,0,0,0,0,0,0,0,2
