Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Forest,Water,Permanent_ice_and_snow,Cropland,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Shrubland,3,3,1,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Grassland,0,3,2,1,1,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Cropland,6,9,2,0,2,7,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Wetland,38,0,28,25,18,37,32,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Lichens_and_Mosses,1,3,0,3,1,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Bareland,12,9,10,0,6,13,9,2,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Built-up,14,15,10,10,0,15,8,5,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Water,36,37,16,23,7,36,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Forest,21,21,11,9,11,0,12,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VEL_M_R,Permanent_ice_and_snow,11,13,9,5,6,9,7,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Bareland,0,3,0,0,0,0,2,0,0,12,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Built-up,0,1,0,0,0,0,0,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Forest,0,3,0,0,0,0,2,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Cropland,0,0,0,0,0,0,0,0,0,9,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Wetland,0,0,0,0,0,0,2,0,0,115,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Water,0,7,0,0,0,0,0,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,13,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Wetland,0,0,0,0,0,0,61,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Bareland,0,0,0,0,0,0,26,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Built-up,0,0,0,0,0,0,21,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Water,0,0,0,0,0,0,0,0,0,0,47,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Forest,0,0,0,0,0,0,32,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,10,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Water,11,7,11,24,21,18,0,0,0,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Cropland,2,0,1,11,2,6,0,0,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Wetland,13,0,13,22,17,17,2,0,3,0,0,18
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Bareland,3,3,4,0,15,7,2,0,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Built-up,6,1,5,18,0,11,0,0,0,0,0,6
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Permanent_ice_and_snow,5,0,0,18,13,12,0,0,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,Forest,9,3,10,18,14,0,2,0,2,0,0,16
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Grassland,0,3,0,2,1,3,1,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Wetland,0,0,0,15,13,18,12,18,7,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Bareland,0,3,0,0,3,3,2,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Water,0,29,0,14,16,14,0,13,5,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Built-up,0,3,0,3,0,1,2,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Forest,0,3,0,3,3,0,2,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,Lichens_and_Mosses,0,2,0,1,1,3,1,0,0,0,0,0
