Dataset,MajorityClass,Grassland,Cropland,Wetland,Built-up,Forest,Bareland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Shrubland,3,1,3,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Cropland,9,0,8,2,5,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Wetland,27,6,0,1,17,0,17,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Bareland,4,1,3,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Built-up,7,6,4,0,8,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Water,30,4,22,0,25,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Forest,18,8,18,6,0,4,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNF_M_R,Permanent_ice_and_snow,4,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Cropland,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Bareland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Forest,0,0,3,0,0,0,2,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Wetland,0,0,0,0,0,0,2,41,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,Water,0,0,8,0,0,0,0,16,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Wetland,0,0,0,0,0,0,21,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Bareland,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Water,0,0,0,0,0,0,0,0,29,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Forest,0,0,0,0,0,0,20,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Water,1,14,8,3,14,13,0,0,0,11,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Cropland,0,0,0,4,3,1,0,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Wetland,0,9,0,0,9,9,2,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Built-up,1,6,0,0,5,4,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Permanent_ice_and_snow,0,2,0,0,2,1,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,Forest,2,13,3,6,0,13,2,0,0,10,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Wetland,0,1,0,1,14,0,8,0,0,0,4
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Forest,0,1,3,1,0,0,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Water,0,0,13,0,13,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Cropland,0,0,0,1,1,0,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
