Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Permanent_ice_and_snow,Built-up,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43WES_M_R,Shrubland,3,3,2,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Grassland,0,3,3,3,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Wetland,33,0,31,34,35,24,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Lichens_and_Mosses,2,3,0,3,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Bareland,8,19,17,0,14,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Built-up,7,16,6,12,10,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Water,32,43,36,35,0,18,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Forest,13,22,15,13,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WES_M_R,Permanent_ice_and_snow,16,21,17,12,12,7,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Bareland,0,3,0,0,2,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Built-up,0,2,0,0,0,0,0,0,17,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Forest,0,1,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Wetland,0,0,0,0,2,0,0,0,98,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Water,0,8,0,0,0,0,0,0,27,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Shrubland,0,0,0,0,3,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Grassland,0,0,0,0,6,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Wetland,0,0,0,0,60,0,0,0,0,14,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Lichens_and_Mosses,0,0,0,0,6,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Bareland,0,0,0,0,27,0,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Built-up,0,0,0,0,13,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Water,0,0,0,0,0,0,0,0,0,52,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Forest,0,0,0,0,26,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,Permanent_ice_and_snow,0,0,0,0,24,0,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,Water,18,22,17,20,0,21,0,16,0,0,19
SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,Wetland,14,0,12,14,6,14,0,15,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,Bareland,8,6,8,0,2,10,0,12,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,Built-up,7,2,4,11,0,9,0,0,0,0,3
SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,Permanent_ice_and_snow,14,7,9,12,2,14,0,11,0,0,12
SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,Forest,10,2,5,13,0,0,0,11,0,0,11
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Water,0,27,0,17,0,9,29,6,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Grassland,0,3,0,1,2,2,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Lichens_and_Mosses,0,3,0,3,2,1,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Bareland,0,3,0,0,2,3,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Forest,0,3,0,0,2,0,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,Wetland,0,0,0,9,12,8,20,10,0,0,0
