Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Shrubland,3,3,3,3,2,2,2,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Grassland,0,3,3,3,1,2,1,2,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Wetland,38,0,37,32,20,32,6,35,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Lichens_and_Mosses,3,3,0,3,2,2,1,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Bareland,17,12,21,0,11,16,11,15,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Built-up,15,11,12,17,0,11,2,18,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Water,39,32,42,40,14,0,15,36,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Permanent_ice_and_snow,23,21,26,25,8,19,0,19,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Forest,21,23,20,19,6,14,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPQ_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Bareland,0,3,0,0,0,2,0,0,15,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Built-up,0,2,0,0,0,2,0,0,14,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Forest,0,3,0,0,0,2,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Wetland,0,0,0,0,0,2,0,0,119,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Water,0,9,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,Permanent_ice_and_snow,0,2,0,0,0,1,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Shrubland,0,0,0,0,0,6,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Grassland,0,0,0,0,0,7,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Wetland,0,0,0,0,0,72,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Lichens_and_Mosses,0,0,0,0,0,10,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Bareland,0,0,0,0,0,37,0,0,0,9,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Built-up,0,0,0,0,0,26,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Water,0,0,0,0,0,0,0,0,0,63,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,47,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,Forest,0,0,0,0,0,43,0,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Water,18,9,22,25,19,0,5,21,0,0,25
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Wetland,14,0,16,17,17,2,0,18,0,0,22
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Bareland,8,3,12,0,17,6,6,12,0,0,19
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Built-up,4,2,15,17,0,2,0,8,0,0,15
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Permanent_ice_and_snow,15,2,18,20,20,9,0,17,0,0,21
SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,Forest,15,3,16,16,11,2,1,0,0,0,21
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Water,0,25,0,29,11,0,33,19,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Grassland,0,3,0,1,1,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Lichens_and_Mosses,0,3,0,3,2,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Bareland,0,3,0,0,3,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Built-up,0,3,0,3,0,2,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Forest,0,3,0,2,3,2,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Wetland,0,0,0,19,16,12,21,17,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,Permanent_ice_and_snow,0,0,0,3,0,1,0,0,0,0,0
