Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Forest,Cropland,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Shrubland,2,2,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Grassland,0,1,1,2,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Cropland,9,6,8,8,9,0,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Wetland,27,0,17,14,31,11,3,19,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Lichens_and_Mosses,0,0,0,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Bareland,11,3,6,0,8,1,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Built-up,8,1,6,5,11,5,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Water,30,24,17,16,27,12,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Forest,18,16,10,9,0,7,6,8,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWF_M_R,Permanent_ice_and_snow,11,5,1,3,12,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Grassland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Bareland,0,2,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Forest,0,3,0,0,0,0,0,2,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Wetland,0,0,0,0,0,0,0,2,71,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Water,0,8,0,0,0,0,0,0,15,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Cropland,0,0,0,0,0,0,0,9,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Wetland,0,0,0,0,0,0,0,60,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Bareland,0,0,0,0,0,0,0,24,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Water,0,0,0,0,0,0,0,0,0,18,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Forest,0,0,0,0,0,0,0,37,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Water,11,8,8,20,19,15,14,0,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Cropland,3,0,0,4,4,0,3,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Wetland,6,0,3,11,11,12,12,2,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Bareland,1,2,2,0,2,6,5,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Built-up,5,0,1,5,2,5,0,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Permanent_ice_and_snow,2,0,1,7,6,7,5,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,Forest,9,3,3,16,0,12,10,2,0,0,9,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Grassland,0,2,0,0,2,1,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Wetland,0,0,0,5,19,7,1,11,0,0,0,13
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Bareland,0,0,0,0,1,1,1,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Water,0,15,0,12,14,5,0,0,0,0,0,9
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Forest,0,3,0,2,0,1,1,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Cropland,0,2,0,0,2,0,1,2,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,Built-up,0,0,0,0,1,0,0,1,0,0,0,0
