Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Shrubland,3,1,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Grassland,0,1,1,2,3,1,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Cropland,7,8,2,4,10,0,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Wetland,26,0,4,7,29,1,2,18,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Bareland,10,3,0,7,12,0,1,8,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Built-up,9,2,6,0,12,0,1,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Water,23,18,12,1,27,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Forest,17,16,7,7,0,2,3,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEG_M_R,Permanent_ice_and_snow,6,5,3,2,10,0,1,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Grassland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Bareland,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Forest,0,3,0,0,0,0,0,2,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Wetland,0,0,0,0,0,0,0,2,49,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Water,0,7,0,0,0,0,0,0,11,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Wetland,0,0,0,0,0,0,0,29,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Bareland,0,0,0,0,0,0,0,12,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Built-up,0,0,0,0,0,0,0,7,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Water,0,0,0,0,0,0,0,0,0,23,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Forest,0,0,0,0,0,0,0,20,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Water,5,7,14,6,19,3,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Cropland,2,0,6,3,7,0,0,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Wetland,3,0,9,4,12,4,1,2,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Bareland,3,0,0,4,5,0,3,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Built-up,1,0,7,0,4,5,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Permanent_ice_and_snow,2,0,9,3,7,2,0,0,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,Forest,7,3,14,4,0,10,2,2,0,0,10,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,Wetland,0,0,9,3,11,7,0,9,0,0,0,10
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,Bareland,0,2,0,1,3,1,0,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,Built-up,0,1,2,0,3,1,0,1,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,Forest,0,3,3,1,0,2,0,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,Water,0,16,10,0,12,0,0,0,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,Grassland,0,1,1,0,2,0,0,1,0,0,0,1
