Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Built-up,Shrubland
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Shrubland,32,56,24,28,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Grassland,0,3,3,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Wetland,91,0,81,112,58,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Lichens_and_Mosses,3,3,0,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Bareland,41,78,59,58,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Built-up,4,4,4,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Water,49,97,59,0,47,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Forest,6,29,1,9,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XXF_M_R,Permanent_ice_and_snow,12,15,15,13,11,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Shrubland,0,0,0,0,0,0,0,82,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Grassland,0,0,0,0,0,0,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,20,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Bareland,0,24,0,16,0,0,0,126,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Forest,0,0,0,0,0,0,0,35,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Wetland,0,0,0,23,0,0,0,301,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Water,0,39,0,0,0,0,0,87,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,14,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Shrubland,0,0,0,33,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Grassland,0,0,0,10,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Wetland,0,0,0,164,0,0,0,0,44,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Lichens_and_Mosses,0,0,0,15,0,0,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Bareland,0,0,0,92,0,0,0,0,29,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Built-up,0,0,0,4,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Water,0,0,0,0,0,0,0,0,90,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Forest,0,0,0,5,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,Permanent_ice_and_snow,0,0,0,15,0,0,0,0,7,0,0
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Water,6,60,66,0,58,0,1,0,0,28,31
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Wetland,39,0,71,24,70,0,19,0,0,40,58
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Bareland,19,38,62,22,0,0,2,0,0,63,21
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
