Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Shrubland,3,2,3,1,1,1,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Grassland,0,0,1,0,1,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Cropland,8,0,7,1,4,1,7,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Wetland,32,8,0,5,11,6,29,21,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Lichens_and_Mosses,2,1,3,0,1,1,3,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Bareland,8,1,7,3,0,5,8,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Built-up,12,3,8,1,8,0,10,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Water,26,0,27,3,9,3,26,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Forest,21,5,22,2,10,7,0,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUN_M_R,Permanent_ice_and_snow,4,0,1,0,1,1,4,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Grassland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Cropland,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Bareland,0,0,2,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Built-up,0,0,1,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Forest,0,0,3,0,0,0,0,2,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Wetland,0,0,0,0,0,0,0,2,80,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Water,0,0,7,0,0,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Wetland,0,0,0,0,0,0,0,35,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,2,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Bareland,0,0,0,0,0,0,0,8,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Built-up,0,0,0,0,0,0,0,6,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Water,0,0,0,0,0,0,0,0,0,31,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Forest,0,0,0,0,0,0,0,24,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Water,0,4,7,11,20,12,17,0,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Cropland,0,0,0,0,5,4,3,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Wetland,2,8,0,8,15,11,14,2,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Bareland,1,4,2,2,0,5,5,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Built-up,2,4,1,5,7,0,4,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Permanent_ice_and_snow,0,1,0,0,3,3,2,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,Forest,4,8,3,9,16,10,0,2,0,0,15,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Wetland,0,4,0,0,7,8,13,12,0,0,0,5
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Bareland,0,2,3,0,0,1,3,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Built-up,0,1,1,0,2,0,2,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Forest,0,1,3,0,3,2,0,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Water,0,0,16,0,5,1,16,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Grassland,0,0,1,0,0,1,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Cropland,0,0,0,0,1,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
