Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Built-up,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Shrubland,3,3,3,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Grassland,0,3,3,1,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Wetland,36,0,35,28,32,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Lichens_and_Mosses,3,3,0,3,2,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Bareland,5,15,13,0,13,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Built-up,6,4,5,4,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Water,35,42,36,29,0,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Forest,8,16,2,0,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XFA_M_R,Permanent_ice_and_snow,18,19,16,12,13,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Bareland,0,3,0,0,2,0,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Forest,0,0,0,0,0,0,0,16,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Wetland,0,0,0,0,2,0,0,75,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Water,0,6,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,17,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Shrubland,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Grassland,0,0,0,0,6,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Wetland,0,0,0,0,52,0,0,0,14,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Lichens_and_Mosses,0,0,0,0,7,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Bareland,0,0,0,0,22,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Built-up,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Water,0,0,0,0,0,0,0,0,52,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Forest,0,0,0,0,5,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,Permanent_ice_and_snow,0,0,0,0,18,0,0,0,9,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,Water,13,22,17,17,0,19,6,0,0,20,0
SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,Wetland,9,0,11,11,8,14,7,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,Bareland,2,10,8,0,4,11,0,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,Built-up,2,0,0,4,0,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,Permanent_ice_and_snow,8,11,11,11,7,14,3,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,Forest,2,0,5,6,0,1,0,0,0,7,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,Water,0,22,0,15,0,0,9,0,0,0,26
SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,Grassland,0,3,0,2,1,1,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,Lichens_and_Mosses,0,3,0,3,2,0,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,Bareland,0,3,0,0,2,2,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,Wetland,0,0,0,12,11,2,4,0,0,0,19
