Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Shrubland,2,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Grassland,0,1,1,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Cropland,5,4,1,0,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Wetland,24,0,12,23,26,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Bareland,5,3,5,6,5,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Built-up,1,2,1,0,5,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Water,22,24,7,0,28,10,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Forest,18,19,4,13,0,5,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPN_M_R,Permanent_ice_and_snow,11,9,5,8,13,2,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Grassland,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Bareland,0,2,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Forest,0,3,0,2,0,0,0,22,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Wetland,0,0,0,2,0,0,0,53,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Water,0,8,0,0,0,0,0,15,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,9,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Wetland,0,0,0,35,0,0,0,0,11,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Bareland,0,0,0,11,0,0,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Water,0,0,0,0,0,0,0,0,27,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Forest,0,0,0,25,0,0,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,Permanent_ice_and_snow,0,0,0,12,0,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Water,1,8,2,0,14,19,6,0,0,13,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Cropland,0,0,0,0,3,4,1,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Wetland,2,0,1,2,9,13,6,0,0,8,4,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Bareland,0,2,0,0,2,0,2,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Permanent_ice_and_snow,1,0,2,0,9,14,7,0,0,8,1,0
SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,Forest,5,3,3,2,0,16,10,0,0,12,5,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,Wetland,0,0,0,12,16,7,0,0,0,0,6,20
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,Water,0,15,0,0,15,6,0,0,0,0,2,16
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,Forest,0,3,0,2,0,2,0,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,Grassland,0,1,0,0,1,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,Bareland,0,1,0,2,3,0,1,0,0,0,0,2
