Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Shrubland,3,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Grassland,0,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Wetland,33,0,35,34,4,29,31,1,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Lichens_and_Mosses,3,3,0,3,1,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Bareland,9,10,17,0,2,12,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Built-up,15,16,15,19,0,11,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Water,35,35,39,36,2,0,33,2,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Forest,20,23,21,20,1,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPA_M_R,Permanent_ice_and_snow,17,21,18,17,8,13,16,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Bareland,0,3,0,0,0,2,0,0,13,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Built-up,0,1,0,0,0,1,0,0,17,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Forest,0,3,0,0,0,2,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Wetland,0,0,0,0,0,2,0,0,112,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Water,0,7,0,0,0,0,0,0,27,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Grassland,0,0,0,0,0,8,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Wetland,0,0,0,0,0,60,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Lichens_and_Mosses,0,0,0,0,0,9,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Bareland,0,0,0,0,0,21,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Built-up,0,0,0,0,0,22,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Water,0,0,0,0,0,0,0,0,0,60,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Forest,0,0,0,0,0,40,0,0,0,9,0
SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,Permanent_ice_and_snow,0,0,0,0,0,30,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,Water,21,7,16,21,23,0,19,0,0,0,23
SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,Wetland,15,0,14,16,17,2,15,0,0,0,18
SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,Bareland,8,3,3,0,11,2,7,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,Built-up,10,1,9,14,0,1,9,0,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,Permanent_ice_and_snow,15,0,9,17,17,0,16,0,0,0,19
SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,Forest,14,3,8,14,17,2,0,0,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Water,0,24,0,13,8,0,21,25,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Grassland,0,3,0,1,2,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Lichens_and_Mosses,0,3,0,2,1,1,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Bareland,0,3,0,0,3,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Built-up,0,1,0,1,0,0,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Forest,0,3,0,1,2,2,0,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,Wetland,0,0,0,9,4,11,15,18,0,0,0
