Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Cropland,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Shrubland,3,3,3,2,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Grassland,0,3,1,1,1,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Cropland,4,8,1,0,1,0,6,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Wetland,40,0,31,28,13,31,38,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Lichens_and_Mosses,3,3,0,2,0,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Bareland,17,15,8,0,5,12,11,2,1,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Built-up,14,15,8,12,0,9,17,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Water,37,39,29,32,8,0,38,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Forest,20,22,16,13,9,12,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEM_M_R,Permanent_ice_and_snow,12,11,6,7,4,7,11,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Cropland,0,0,0,0,0,0,0,0,0,8,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Bareland,0,3,0,0,0,2,0,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Built-up,0,1,0,0,0,2,0,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Forest,0,3,0,0,0,2,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Wetland,0,0,0,0,0,2,0,0,0,112,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Water,0,7,0,0,0,0,0,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Grassland,0,0,0,0,0,6,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Wetland,0,0,0,0,0,61,0,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Lichens_and_Mosses,0,0,0,0,0,9,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Bareland,0,0,0,0,0,30,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Built-up,0,0,0,0,0,23,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Water,0,0,0,0,0,0,0,0,0,0,60,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Forest,0,0,0,0,0,39,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Water,17,7,18,22,18,0,21,0,0,0,0,18
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Cropland,1,0,0,6,2,0,5,0,0,0,0,3
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Wetland,13,0,15,20,15,2,18,0,2,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Bareland,2,3,8,0,11,2,10,0,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Built-up,7,1,5,18,0,2,14,0,0,0,0,7
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Permanent_ice_and_snow,6,0,5,15,8,0,14,0,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,Forest,12,3,11,18,11,2,0,0,2,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Grassland,0,3,0,3,2,2,3,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Wetland,0,0,0,15,16,11,16,18,7,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Bareland,0,3,0,0,3,2,3,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Water,0,26,0,20,20,0,18,21,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Forest,0,3,0,3,3,2,0,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Lichens_and_Mosses,0,3,0,2,1,2,3,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,Built-up,0,3,0,2,0,2,3,2,0,0,0,0
