Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Shrubland,3,3,2,1,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Grassland,0,3,2,0,1,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Cropland,12,11,0,0,0,7,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Wetland,35,0,20,9,27,33,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Lichens_and_Mosses,3,3,0,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Bareland,5,5,5,0,8,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Built-up,4,2,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Water,32,29,19,8,0,31,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Forest,20,22,8,2,15,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVT_M_R,Permanent_ice_and_snow,10,11,2,0,4,7,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Cropland,0,0,0,0,0,0,11,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Bareland,0,2,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Forest,0,3,0,0,2,0,25,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Wetland,0,0,0,0,2,0,84,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Water,0,8,0,0,0,0,23,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,11,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Shrubland,0,0,0,0,3,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Grassland,0,0,0,0,4,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Wetland,0,0,0,0,52,0,0,9,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Lichens_and_Mosses,0,0,0,0,6,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Bareland,0,0,0,0,14,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Water,0,0,0,0,0,0,0,32,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Forest,0,0,0,0,29,0,0,8,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Cropland,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,Permanent_ice_and_snow,0,0,0,0,7,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Water,11,8,14,20,0,18,0,0,21,6,1,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Cropland,3,0,3,5,0,6,0,0,6,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Wetland,10,0,11,15,2,14,0,0,14,5,2,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Bareland,0,2,0,0,0,3,0,0,2,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Built-up,0,0,2,4,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Permanent_ice_and_snow,2,0,4,9,0,9,0,0,5,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,Forest,10,3,12,14,2,0,0,0,13,6,2,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,Grassland,0,3,0,0,2,3,0,0,0,1,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,Wetland,0,0,0,10,11,14,0,0,0,8,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,Bareland,0,2,0,0,2,2,0,0,0,1,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,Water,0,22,0,10,0,15,0,0,0,1,0,12
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,Forest,0,3,0,2,2,0,0,0,0,1,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,Lichens_and_Mosses,0,2,0,0,1,2,0,0,0,0,0,0
