Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Shrubland,87,90,77,60,70,39,16,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Grassland,0,3,3,2,3,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Wetland,192,0,173,148,148,114,34,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Lichens_and_Mosses,3,3,0,1,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Bareland,107,91,110,85,87,0,39,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Built-up,15,9,12,12,16,8,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Water,140,116,151,0,98,78,12,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Forest,93,83,74,68,0,39,12,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEP_M_R,Permanent_ice_and_snow,9,12,9,9,8,6,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Shrubland,0,0,0,0,0,0,0,0,171,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Grassland,0,0,0,0,0,0,0,0,29,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,29,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Bareland,0,31,0,20,0,0,0,0,220,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Built-up,0,7,0,5,0,0,0,0,44,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Forest,0,33,0,19,0,0,0,0,198,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Wetland,0,0,0,29,0,0,0,0,626,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Water,0,62,0,0,0,0,0,0,148,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,13,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Shrubland,0,0,0,94,0,0,0,0,0,27,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Grassland,0,0,0,19,0,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Wetland,0,0,0,297,0,0,0,0,0,64,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Lichens_and_Mosses,0,0,0,17,0,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Bareland,0,0,0,183,0,0,0,0,0,51,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Water,0,0,0,0,0,0,0,0,0,181,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Forest,0,0,0,144,0,0,0,0,0,37,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Built-up,0,0,0,32,0,0,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,Permanent_ice_and_snow,0,0,0,12,0,0,0,0,0,5,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Water,49,62,54,0,83,103,58,0,0,0,44,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Wetland,95,0,88,29,94,116,102,0,0,0,89,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Bareland,76,31,90,20,84,0,109,0,0,0,76,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Built-up,9,7,7,5,7,20,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Permanent_ice_and_snow,10,0,4,0,13,14,7,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Forest,68,33,30,19,0,92,34,0,0,0,70,0
SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,Shrubland,61,0,49,0,64,80,54,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Water,0,128,0,0,69,58,53,116,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Grassland,0,12,0,6,12,4,8,12,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Lichens_and_Mosses,0,10,0,6,10,5,7,10,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Bareland,0,98,0,68,75,0,72,103,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Built-up,0,6,0,1,3,5,0,8,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Forest,0,77,0,54,0,10,25,71,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Wetland,0,0,0,110,125,48,92,167,0,0,0,11
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Shrubland,0,84,0,44,61,18,41,84,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
