Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Permanent_ice_and_snow,Forest,Built-up,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Shrubland,3,3,3,3,2,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Grassland,0,3,3,3,1,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Wetland,35,0,33,28,29,2,32,1,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Lichens_and_Mosses,3,3,0,3,2,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Bareland,13,8,14,0,11,10,13,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Built-up,8,6,3,7,3,1,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Water,37,35,40,38,0,16,35,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Permanent_ice_and_snow,23,20,25,26,17,0,18,1,0,0,0
SIBERIA_2024_WorldCover_2021_41WNP_M_R,Forest,20,20,19,17,13,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Bareland,0,3,0,0,2,0,0,0,11,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Built-up,0,2,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Forest,0,3,0,0,2,0,0,0,23,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Wetland,0,0,0,0,2,0,0,0,99,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Water,0,7,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,Permanent_ice_and_snow,0,2,0,0,2,0,0,0,20,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Shrubland,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Grassland,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Wetland,0,0,0,0,60,0,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Lichens_and_Mosses,0,0,0,0,10,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Bareland,0,0,0,0,32,0,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Built-up,0,0,0,0,8,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Water,0,0,0,0,0,0,0,0,0,62,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Permanent_ice_and_snow,0,0,0,0,45,0,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,Forest,0,0,0,0,38,0,0,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,Water,7,7,21,24,0,4,21,20,0,0,23
SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,Wetland,10,0,14,15,2,0,15,11,0,0,18
SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,Bareland,0,3,10,0,6,6,10,8,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,Built-up,2,2,5,5,0,0,4,0,0,0,5
SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,Permanent_ice_and_snow,12,2,16,19,11,0,16,16,0,0,23
SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,Forest,9,3,16,15,2,0,0,8,0,0,20
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Water,0,23,0,25,0,32,18,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Grassland,0,3,0,0,1,3,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Lichens_and_Mosses,0,3,0,3,2,3,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Bareland,0,3,0,0,2,3,3,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Forest,0,3,0,2,2,3,0,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Wetland,0,0,0,15,13,18,17,5,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
