Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Permanent_ice_and_snow,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Shrubland,53,64,32,40,8,24,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Grassland,0,3,2,2,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Wetland,117,0,96,135,18,98,2,7,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Lichens_and_Mosses,3,3,0,2,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Bareland,52,71,60,64,3,0,1,6,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Built-up,8,11,9,9,4,14,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Water,80,100,76,0,1,70,4,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Permanent_ice_and_snow,10,13,5,10,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Forest,26,48,2,21,0,4,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WXD_M_R,Cropland,3,1,2,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Shrubland,0,0,0,0,0,0,0,0,111,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Grassland,0,0,0,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,26,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Bareland,0,27,0,14,0,0,0,0,141,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Built-up,0,5,0,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,13,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Forest,0,0,0,0,0,0,0,0,66,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Wetland,0,0,0,25,0,0,0,0,350,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,Water,0,42,0,0,0,0,0,0,109,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Shrubland,0,0,0,38,0,0,0,0,0,13,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Grassland,0,0,0,10,0,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Wetland,0,0,0,189,0,0,0,0,0,64,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Lichens_and_Mosses,0,0,0,16,0,0,0,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Bareland,0,0,0,101,0,0,0,0,0,37,0,0
