Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Shrubland,3,3,3,3,1,2,1,3,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Grassland,0,3,3,2,0,2,0,3,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Wetland,37,0,39,31,15,35,2,33,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Lichens_and_Mosses,3,3,0,1,0,2,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Bareland,10,15,17,0,4,15,3,13,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Built-up,17,15,18,16,0,14,1,17,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Water,44,40,47,36,18,0,4,37,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Permanent_ice_and_snow,21,18,24,20,3,19,0,16,0,0,0
SIBERIA_2024_WorldCover_2021_45WWT_M_R,Forest,21,24,21,15,7,15,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Bareland,0,2,0,0,0,1,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Built-up,0,2,0,0,0,1,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Forest,0,3,0,0,0,2,0,0,27,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Wetland,0,0,0,0,0,2,0,0,113,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Water,0,7,0,0,0,0,0,0,28,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,Permanent_ice_and_snow,0,2,0,0,0,2,0,0,18,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Grassland,0,0,0,0,0,8,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Wetland,0,0,0,0,0,70,0,0,0,13,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Bareland,0,0,0,0,0,32,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Built-up,0,0,0,0,0,33,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Water,0,0,0,0,0,0,0,0,0,72,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Permanent_ice_and_snow,0,0,0,0,0,37,0,0,0,10,0
SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,Forest,0,0,0,0,0,40,0,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,Water,20,10,15,24,24,0,8,22,0,0,25
SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,Wetland,15,0,10,17,17,6,0,16,0,0,19
SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,Bareland,5,2,2,0,12,1,5,9,0,0,11
SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,Built-up,6,2,4,18,0,1,0,16,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,Permanent_ice_and_snow,14,2,6,19,17,2,0,15,0,0,18
SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,Forest,14,3,8,15,17,2,0,0,0,0,18
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Water,0,30,0,23,20,0,29,20,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Grassland,0,3,0,1,1,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Lichens_and_Mosses,0,3,0,1,1,2,3,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Bareland,0,3,0,0,3,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Built-up,0,3,0,3,0,2,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Forest,0,3,0,2,3,2,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Wetland,0,0,0,13,15,11,17,14,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
