Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Lichens_and_Mosses,Water,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Grassland,0,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Cropland,7,8,1,2,9,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Wetland,36,0,2,4,35,15,21,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Bareland,6,3,0,1,6,3,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Built-up,14,1,7,0,12,5,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Water,35,30,16,4,35,23,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Forest,20,18,2,5,0,2,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VLM_M_R,Permanent_ice_and_snow,7,2,2,2,8,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Bareland,0,1,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Forest,0,3,0,0,0,0,2,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Wetland,0,0,0,0,0,0,2,0,93,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Water,0,8,0,0,0,0,0,0,26,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Built-up,0,1,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Grassland,0,0,0,0,0,0,6,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Wetland,0,0,0,0,0,0,50,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Bareland,0,0,0,0,0,0,9,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Built-up,0,0,0,0,0,0,9,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Water,0,0,0,0,0,0,0,0,0,37,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Forest,0,0,0,0,0,0,23,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Water,14,8,20,13,16,13,0,0,0,0,15,18
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Cropland,1,0,5,1,3,0,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Wetland,12,0,17,8,12,7,2,0,0,0,13,12
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Bareland,1,1,0,3,1,0,0,0,0,0,1,1
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Built-up,5,1,12,0,6,0,0,0,0,0,4,5
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Permanent_ice_and_snow,2,0,6,2,6,0,0,0,0,0,3,2
SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,Forest,6,3,12,2,0,3,2,0,0,0,10,10
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Grassland,0,3,0,3,3,0,2,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Wetland,0,0,5,3,12,0,11,10,0,0,0,5
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Forest,0,3,2,3,0,0,2,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Water,0,23,3,3,9,0,0,7,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Lichens_and_Mosses,0,2,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Bareland,0,3,0,3,1,0,2,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,Built-up,0,1,1,0,1,0,2,1,0,0,0,0
