Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Shrubland,3,1,3,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Grassland,0,1,1,1,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Cropland,9,0,10,3,5,8,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Wetland,28,14,0,1,1,19,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Bareland,4,2,3,0,2,4,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Built-up,11,6,9,4,0,11,5,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Water,28,1,22,6,2,22,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Forest,18,6,18,2,7,0,8,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VPF_M_R,Permanent_ice_and_snow,2,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Cropland,0,0,0,0,0,0,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Bareland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Built-up,0,0,0,0,0,0,1,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Forest,0,0,3,0,0,0,2,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Wetland,0,0,0,0,0,0,2,0,50,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,Water,0,0,8,0,0,0,0,0,14,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Cropland,0,0,0,0,0,0,3,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Wetland,0,0,0,0,0,0,26,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Bareland,0,0,0,0,0,0,3,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Built-up,0,0,0,0,0,0,8,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Water,0,0,0,0,0,0,0,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,Forest,0,0,0,0,0,0,19,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Water,0,12,8,14,10,14,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Cropland,3,0,0,6,4,5,0,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Wetland,0,6,0,13,3,13,2,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Built-up,2,9,0,8,0,4,1,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Permanent_ice_and_snow,0,2,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,Forest,3,10,3,14,6,0,2,1,0,0,9,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Grassland,0,1,0,0,1,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Wetland,0,4,0,0,2,12,8,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Built-up,0,1,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Forest,0,1,3,0,1,0,2,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Cropland,0,0,2,0,1,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Water,0,0,12,0,3,10,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,Bareland,0,0,0,0,1,1,0,0,0,0,0,0
